participant_id,last_week,condition,phase,dropout
0006F470-71F5-4743-BDB5-6E281CDDF0CF,1,ACC,phase2,1
0035B40B-7D47-4E2B-BEBF-224F4452CBAA,1,ACC,phase1,1
0082F3E1-DF11-4F51-8998-6F58BAA77F25,1,BCC,phase2,1
00B2E996-861C-4EB9-A3F4-06CEB9893B1A,1,CCC,phase2,1
00B65324-C0A7-417A-8136-733D0D825110,2,ACC,phase2,1
00B9CC53-D074-41AD-B36E-5B9470081736,6,CCC,phase1,0
00C7DC22-AB67-4D7A-ADF0-B8AA665767BC,1,BCC,phase2,1
00EE0F8D-F4D2-44B8-8E72-51D7A405383A,6,ACC,phase1,0
0100A9D5-5152-437D-8B44-9DBD02E4089A,6,ACC,phase1,0
011B6B0B-DFB4-4469-809D-643277DE9A67,2,ABC,phase2,1
01275D7E-29A2-418D-AFD7-9A4F971E054A,1,ACC,phase2,1
012C07FF-59AA-4B24-A863-DE76DBB32220,4,ABC,phase2,1
0156E4F8-B21A-421A-9CBA-020296EAB812,6,ACC,phase1,0
01B707BA-2FAD-4AB2-8BA0-CE44C83963CA,1,CCC,phase1,1
01B8AAE1-4BF9-4B62-9836-6E3F8E07C385,4,ABC,phase1,1
01BAA7E1-28DA-41D6-9A98-315FC8AAE4FA,1,ABC,phase2,1
01CA7A36-7B8A-4A0B-A6A0-EC8112738E45,1,ABC,phase1,1
01D91AA7-EB95-4F8D-8067-5BC173EDCD77,6,ACC,phase2,0
01F9651C-0107-4FF7-93DA-FF00C616D5FF,1,ACC,phase2,1
0211D548-9B16-495C-AA6E-CF5FF98B3692,1,ABC,phase1,1
0238F5D6-441C-4331-BE20-F9214D7CD108,4,BCC,phase1,1
023DF4AC-FC89-425C-B5BD-4077536AF4EF,5,ABC,phase2,1
02506D86-A941-4DA4-8FD0-178B1EB4B0D6,4,BCC,phase2,1
02B5712B-6C6C-474B-AB29-8BE15CAA4185,5,BCC,phase2,1
036CE412-FFB3-40FC-BE2A-B15CB8A4E5BF,5,BCC,phase2,1
036D2F38-2CD6-491A-97AF-5C314BF1EE9C,6,ABC,phase1,0
03933B9C-393C-4F9A-8E33-E867064D90C0,2,BCC,phase1,1
03A0AA45-6926-44D5-BA2E-A67060C5B181,6,BCC,phase2,0
