resolution,interventionDuration,app,timestamp,isReIntervention,interventionType,timezone
openedApp,1.5,facebook,1749346793.8316898,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,tikTok,1749347602.155429,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749349933.588222,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,threads,1749350004.8500109,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749351319.37275,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,tikTok,1749358456.992548,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,tikTok,1749358459.908812,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749372242.433212,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749372282.395189,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749372682.7923908,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749372781.004146,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749372903.386487,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749373652.569147,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749377564.714138,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749390381.743052,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749392359.701648,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749392571.383881,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749392574.4383621,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749400862.634914,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749400890.078299,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749400892.556974,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749407677.675095,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749421174.299823,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749428349.096601,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749428532.6823049,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749429144.354251,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749448225.95311,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749448323.0724602,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749448370.636623,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749448462.714458,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749449959.3096108,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749477982.8999848,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749484971.9902081,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749485011.4987478,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749485017.1472092,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749489995.2992349,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749513996.10587,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749514067.173431,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749514166.775645,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749514174.4698591,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749523996.8900619,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749524034.811517,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749528417.468011,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749538284.1605659,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749565449.288165,False,breathingExercise,America/Boise
openedApp,1.5,instagram,1749571407.545373,False,breathingExercise,America/Boise
dismissedAppOpening,1.5,instagram,1749573368.023792,False,breathingExercise,America/Boise
