timestamp,isReIntervention,interventionDuration,interventionType,timezone,resolution,app,timeIntervalUntilReIntervention,purpose
1752220599.291091,False,1.5,askForTimeLimit,Europe/Berlin,openedApp,instagram,60.0,
1752220692.469219,True,1.5,breathingExercise,Europe/Berlin,openedApp,instagram,60.0,Message
1752222426.427425,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752224161.892596,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752224208.068223,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752224332.523388,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752224827.850368,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752226596.057157,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752227209.683979,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752227219.1267362,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752227349.736652,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752227622.320736,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752229773.8038101,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752229777.851482,False,1.5,askForTimeLimit,Europe/Berlin,openedApp,instagram,180.0,
1752230023.109359,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752230173.745472,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752230178.00509,False,1.5,breathingExercise,Europe/Berlin,dismissedAppOpening,facebook,,
1752230767.803626,False,1.5,breathingExercise,Europe/Berlin,dismissedAppOpening,facebook,,
1752236864.4998589,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752237987.900988,False,1.5,askForTimeLimit,Europe/Berlin,openedApp,instagram,60.0,
1752249584.8313708,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752250131.8922849,False,1.5,breathingExercise,Europe/Berlin,dismissedAppOpening,facebook,,
1752258578.122548,False,1.5,breathingExercise,Europe/Berlin,dismissedAppOpening,facebook,,
1752258638.90902,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752260701.424406,False,1.5,askForTimeLimit,Europe/Berlin,openedApp,instagram,60.0,
1752260756.4054441,False,1.5,breathingExercise,Europe/Berlin,dismissedAppOpening,facebook,,
1752261574.9631948,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752261849.539411,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752261852.911069,False,1.5,breathingExercise,Europe/Berlin,dismissedAppOpening,facebook,,
1752261868.819314,False,1.5,askForTimeLimit,Europe/Berlin,openedApp,instagram,60.0,
1752264189.360579,False,1.5,breathingExercise,Europe/Berlin,dismissedAppOpening,facebook,,
1752305058.264652,False,1.5,askForTimeLimit,Europe/Berlin,openedApp,instagram,120.0,
1752305193.635623,True,1.5,breathingExercise,Europe/Berlin,openedApp,instagram,60.0,Message
1752306866.814635,False,1.5,askForTimeLimit,Europe/Berlin,openedApp,instagram,60.0,
1752306943.667855,True,1.5,breathingExercise,Europe/Berlin,openedApp,instagram,180.0,Message
1752307163.477903,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752316173.101372,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752316196.867208,False,1.5,askForTimeLimit,Europe/Berlin,openedApp,instagram,300.0,
1752316464.346939,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752356149.505344,False,1.5,breathingExercise,Europe/Berlin,openedApp,tikTok,,Stay In the Loop
1752356176.634348,False,1.5,askForTimeLimit,Europe/Berlin,openedApp,instagram,600.0,
1752357075.2881,False,1.5,askForTimeLimit,Europe/Berlin,openedApp,instagram,360.0,
1752391958.006844,False,1.5,askForTimeLimit,Europe/Berlin,openedApp,instagram,240.0,
1752398334.326205,False,1.5,askForTimeLimit,Europe/Berlin,dismissedAppOpening,instagram,,
1752398688.030764,False,1.5,askForTimeLimit,Europe/Berlin,openedApp,instagram,60.0,
