timestamp,app,timezone,resolution,isReIntervention,interventionDuration,interventionType
1749689424.983179,instagram,America/New_York,openedApp,False,,
1749689544.983179,instagram,America/New_York,closedApp,False,,
1749689544.983179,instagram,America/New_York,dismissedAppOpening,False,,
1749693994.547405,instagram,America/New_York,openedApp,False,,
1749694114.547405,instagram,America/New_York,closedApp,False,,
1749694114.547405,instagram,America/New_York,dismissedAppOpening,False,,
1749695055.398615,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749726953.251056,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749727204.513128,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749745802.497491,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749745871.647718,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749764844.603612,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749768967.821969,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749770717.93429,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749781484.058661,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749842755.911166,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749846561.7568998,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749852223.635755,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749852833.6973839,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749868717.691701,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749907896.0197601,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749912246.603372,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749914292.2067518,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749916808.075757,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749916953.961061,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749918138.027236,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749933438.070543,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749989701.369103,instagram,America/New_York,openedApp,False,1.5,breathingExercise
1749997081.673254,instagram,America/New_York,openedApp,False,,
