timezone,timestamp,interventionType,isReIntervention,interventionDuration,resolution,app,purpose
Europe/Bucharest,1749911056.986538,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749911381.225877,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749911798.2654362,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749912190.203388,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749912511.6006389,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749913120.552089,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749913128.301083,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749913691.541294,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749914430.0888371,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749914750.0885,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749914757.173705,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749915289.112889,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749915870.930095,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749917132.691061,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749917883.3259978,breathingExercise,False,1.5,openedApp,instagram,Message
Europe/Bucharest,1749918349.2872782,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749918704.0526109,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749918722.9548512,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749919133.913862,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749919172.801231,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749919625.107051,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749920137.930423,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749920263.917979,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749920482.5943851,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749920927.4333448,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749921132.09157,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749921846.024407,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749922366.6798549,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749922463.8784142,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749922817.204424,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749922824.4286141,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749923666.740528,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749924385.543371,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749924880.4935632,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749925274.340558,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749925656.6524792,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749925705.52338,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749926251.9783468,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749926602.303049,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749926694.0215359,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749927207.150608,breathingExercise,False,1.5,dismissedAppOpening,tikTok,
Europe/Bucharest,1749927216.554811,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749927290.340683,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749927293.079464,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749927300.852594,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749927622.0642781,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749927629.903513,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749928532.802495,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749928847.7880669,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749928855.332773,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749929398.3857698,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749929717.2327971,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749930045.302475,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749930399.805547,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749931077.110189,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749931459.135261,breathingExercise,False,1.5,dismissedAppOpening,tikTok,
Europe/Bucharest,1749931486.193612,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749931538.9420671,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749931995.8435922,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749932419.7638931,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749933094.9793,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749933113.4327822,breathingExercise,False,1.5,openedApp,tikTok,Relax
Europe/Bucharest,1749934060.247623,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749934402.857503,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749935178.0380979,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749935493.0795,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749935536.0845032,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749935869.222983,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749936702.313167,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749937809.895441,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749938168.744914,breathingExercise,False,1.5,dismissedAppOpening,tikTok,
Europe/Bucharest,1749938175.700045,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749938257.4375548,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749938604.1483731,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749938617.577231,breathingExercise,False,1.5,openedApp,tikTok,Stay In the Loop
Europe/Bucharest,1749938998.157319,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749939349.2631412,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749940038.785112,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749940047.5319061,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
Europe/Bucharest,1749940353.6908178,breathingExercise,False,1.5,dismissedAppOpening,instagram,
Europe/Bucharest,1749940490.836338,breathingExercise,False,1.5,openedApp,instagram,Stay In the Loop
