timezone,isReIntervention,purpose,app,interventionType,interventionDuration,timestamp,resolution
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750342094.320179,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750342724.888328,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750344040.485112,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750344200.311778,openedApp
Asia/Kolkata,False,,whastapp,breathingExercise,1.5,1750395624.8157449,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750395643.433886,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750412655.4095669,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750428759.1800199,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750439886.981934,openedApp
Asia/Kolkata,False,,twitter,breathingExercise,1.5,1750473613.9712849,dismissedAppOpening
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750473629.531604,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750474902.773161,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750475230.199693,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750482250.226244,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750484523.2796922,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750511640.272482,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750515031.950027,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750516128.190425,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750516810.088307,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750517592.296473,openedApp
Asia/Kolkata,False,,twitter,breathingExercise,1.5,1750558537.682498,dismissedAppOpening
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750558552.2446342,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750572426.702652,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750579482.9071112,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750582294.503289,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750605244.179309,openedApp
Asia/Kolkata,False,,whastapp,,,1750611424.339406,openedApp
Asia/Kolkata,False,,whastapp,,,1750612024.339407,closedApp
Asia/Kolkata,False,,whastapp,,,1750612024.339407,dismissedAppOpening
Asia/Kolkata,False,,whastapp,,,1750611556.800407,openedApp
Asia/Kolkata,False,,whastapp,,,1750612156.800407,closedApp
Asia/Kolkata,False,,whastapp,,,1750612156.800407,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750612252.776622,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750612267.0406551,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750612279.319967,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750612291.567622,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750612305.3288388,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750612319.9723701,openedApp
Asia/Kolkata,False,,whastapp,,,1750611724.0186439,openedApp
Asia/Kolkata,False,,whastapp,,,1750612324.0186439,closedApp
Asia/Kolkata,False,,whastapp,,,1750612324.0186439,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750612437.32165,openedApp
Asia/Kolkata,False,,whastapp,,,1750611840.7834048,openedApp
Asia/Kolkata,False,,whastapp,,,1750612440.783406,closedApp
Asia/Kolkata,False,,whastapp,,,1750612440.783406,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750612563.403633,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750614015.948973,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1750615723.170579,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1750616511.2468739,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750639380.517524,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750639682.156183,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750653912.1854448,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750662651.7179198,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750662831.039143,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750671922.028678,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750676211.136414,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750679371.827218,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750680425.980447,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750702122.8085709,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750724552.598515,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750725615.898629,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750726834.508472,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750755252.795219,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750755985.995434,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750757381.6164808,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750777528.99721,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750778271.3921351,openedApp
Asia/Kolkata,False,,twitter,breathingExercise,1.5,1750812616.663076,dismissedAppOpening
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750814747.615049,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750815615.4581819,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750828911.0263472,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750830015.839845,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750834602.830879,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750836344.504235,openedApp
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750843377.2497082,openedApp
Asia/Kolkata,False,Message,youtube,breathingExercise,1.5,1750844665.1069021,openedApp
Asia/Kolkata,False,,youtube,breathingExercise,1.5,1750844665.936757,dismissedAppOpening
Asia/Kolkata,False,Message,whastapp,breathingExercise,1.5,1750846939.955322,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,1.5,1750864234.542073,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1750897221.4951658,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1750898425.53033,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1750899653.23055,openedApp
Asia/Kolkata,False,Message,twitter,breathingExercise,6.0,1750900794.545424,openedApp
