interventionDuration,timestamp,isReIntervention,resolution,interventionType,timezone,app
1.5,1749516200.937635,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749516256.689141,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749516265.208524,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749517591.9944758,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749517948.307832,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749517957.69845,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749529978.403386,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749555014.807512,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749563731.101726,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749564128.908066,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749564143.823147,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749564329.636105,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749564464.965625,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749564469.450875,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749564478.085957,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749565119.7580981,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749565619.516725,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749566505.443593,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749598619.563394,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749598632.680649,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749608188.496942,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749608294.071179,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749619391.183292,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749619443.674539,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749619466.58934,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749621394.332977,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749622039.614506,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749623909.073347,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749623925.2081652,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749633718.4583812,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749640036.434083,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749640742.18155,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749641380.0223808,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749658423.322582,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749658928.376122,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749660249.6414418,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749660801.7580462,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749660961.8815022,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749661122.683662,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749661311.5945768,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749661556.807028,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749661585.0114532,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749661763.317155,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749662322.981614,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749663302.399599,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749663807.976933,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749664541.306872,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749664757.354958,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749664868.3056931,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749665790.193125,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749665798.4493651,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749717492.901767,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749717506.9587998,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749718646.090725,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749732194.839853,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749733036.4598851,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749737860.477731,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749737979.787119,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749738167.9992208,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749787674.825938,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749787780.9051208,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749787832.313237,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749788038.626713,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749788045.546735,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749788143.801803,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749788209.2635021,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749788270.0939078,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749790958.8009582,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749791081.286463,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749791084.7690768,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749792025.533867,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749792230.661693,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749792366.613159,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749792412.8323112,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749792500.8858042,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749792577.4200258,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749792701.551692,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749793164.30211,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749793415.284426,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749795180.1258101,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749795193.322236,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749795685.770005,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749795729.624748,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749796675.7955709,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749806805.624113,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749806814.386475,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749810378.047848,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749868913.69451,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749869118.4604812,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749869136.123569,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749869424.500444,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749869454.376742,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749869965.831057,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749871475.746866,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749886000.94185,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749886038.169877,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749886044.2380428,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749886218.792372,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749887748.012898,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749888786.982387,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749900327.135807,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749900341.7907581,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749900477.158053,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749900484.4699721,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749900502.351767,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749910634.4470758,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749910768.1333718,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749910818.313652,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749912941.160655,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749913034.3269382,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749914334.818393,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749914363.118981,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749914459.906067,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749957794.841219,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749957844.834083,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749958071.634809,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749958210.2627769,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749961672.442772,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749961689.233385,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749962347.237961,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749962395.646649,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749964535.014463,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749965154.97937,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1749965237.459244,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1749965360.6778688,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1749965416.352979,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750045733.653873,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750046647.402154,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750046664.372738,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750047475.490931,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750048169.942431,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750050056.570432,False,dismissedAppOpening,breathingExercise,Asia/Manila,safari
1.5,1750050075.510388,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750050096.996124,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750050215.866249,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750051076.552709,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750052421.16752,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750054979.6350589,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750081586.53282,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750124754.879161,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750130064.41095,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750130206.2700582,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750130978.318962,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750132774.6420631,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750132814.052433,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750139696.41987,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750140503.3367891,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750140726.329648,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750140924.378807,False,openedApp,breathingExercise,Asia/Manila,safari
1.5,1750142881.9870548,False,openedApp,breathingExercise,Asia/Manila,facebookMessenger
1.5,1750143129.788454,False,dismissedAppOpening,breathingExercise,Asia/Manila,facebookMessenger
