timestamp,app,interventionType,resolution,timezone,isReIntervention,interventionDuration,purpose
1750914944.9308581,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750924987.941926,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750929917.448964,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750933191.200715,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750933201.92361,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750933487.4334888,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750933849.036202,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750934852.9355788,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750938730.8018699,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750939092.9558291,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1750939598.508799,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1750939716.489923,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1750943219.299385,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750948511.479319,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Escape / Avoid
1750949575.14991,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750950748.900639,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750950959.721761,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750950971.3934789,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750956475.982913,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750957731.965632,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750958012.406426,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1750961196.642178,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750961334.253566,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750961491.511065,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1750962410.816438,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1750967731.8232589,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750967875.1025271,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750968046.943682,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750969207.312621,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1750969965.4432511,facebook,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750970841.840111,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750974252.5179272,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Toilet
1750976414.752503,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750976740.246399,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750976852.937835,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750976861.106381,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750977048.658737,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750978001.8331199,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1750979089.786036,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1750979103.3736281,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751002049.0412412,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751002181.9453259,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751004933.862037,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751006502.24193,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751006626.893309,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751007204.211756,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751007885.727798,instagram,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751007914.8578029,facebook,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
1751013566.423511,instagram,breathingExercise,openedApp,Europe/Dublin,False,1.5,Entertainment
1751013650.222516,tikTok,breathingExercise,dismissedAppOpening,Europe/Dublin,False,1.5,
1751013657.0213928,tikTok,breathingExercise,openedApp,Europe/Dublin,False,1.5,Relax
