timestamp,isReIntervention,interventionDuration,timezone,interventionType,app,resolution
1752332093.18004,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752332097.626205,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752332184.382262,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752332721.067563,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752333196.051188,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752333214.624376,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752333467.170148,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752333928.584276,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752334312.873672,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752334494.272272,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752334506.1032681,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752334543.7163901,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752334551.508006,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752334733.106443,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752334875.871715,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752335237.313503,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752335439.032093,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752335601.189899,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752335971.97324,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752336034.702019,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752336203.322293,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752336241.267744,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752336328.60819,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752336392.8735719,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752336602.9035292,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752336780.852998,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752337026.39424,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752337041.078325,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752337180.541205,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752337383.3045359,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752337434.8949609,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752337854.981419,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752338015.859999,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752338259.723917,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752339174.0087152,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752339185.859692,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752339241.752635,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752339320.805738,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752339400.958962,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752339634.449749,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752339872.708737,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752339948.327862,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752340197.5559812,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752341926.314344,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752343277.561798,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752343425.563772,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752343482.6898742,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752343891.8185182,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752345047.0358958,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752345087.506413,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752345163.0597548,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752350658.969479,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752350739.780662,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752350942.230781,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752351131.461066,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752351515.673739,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752351713.837286,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752352203.562602,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752352307.946064,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752352939.1545482,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752352946.5994449,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752353123.50648,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752353129.83597,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752353217.312402,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752354094.583416,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752354258.2282891,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752354298.415242,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752354565.953589,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752354635.0111241,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752356291.5946388,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752356774.184865,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752357588.4712691,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752358027.663708,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752358076.3551168,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752358753.122952,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752358852.784872,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752358903.411334,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752360549.791465,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752360746.1689548,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752361250.9413738,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752361358.293596,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752361500.213314,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752391319.8453069,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752394566.309815,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752396298.906825,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752396377.5093598,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752396413.8611,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752396624.623353,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752396788.5554528,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752396889.600237,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752397027.331022,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752397139.2661018,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752397490.5137749,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752397660.713719,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752400480.690253,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752400673.332769,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752400705.628179,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752400834.3714519,False,1.5,Asia/Karachi,breathingExercise,instagram,dismissedAppOpening
1752401196.587511,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752408591.927356,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
1752409526.1832929,False,1.5,Asia/Karachi,breathingExercise,instagram,openedApp
