interventionDuration,interventionType,isReIntervention,resolution,timestamp,app,timezone,timeIntervalUntilReIntervention
,,False,closedApp,1749633638.173595,instagram,Europe/Lisbon,
,,False,closedApp,1749634690.847667,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749635418.754599,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749651026.25948,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749651379.073483,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749652433.858252,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749652574.49843,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749653292.135711,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749653364.1893039,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749654682.129229,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749654751.213018,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749655577.2226439,instagram,Europe/Lisbon,120.0
1.5,breathingExercise,False,dismissedAppOpening,1749656384.686792,instagram,Europe/Lisbon,
,,False,closedApp,1749655704.429456,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749657661.105516,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749657720.96095,instagram,Europe/Lisbon,
,,False,closedApp,1749657726.0574532,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749662097.645104,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749662126.076158,instagram,Europe/Lisbon,
,,False,closedApp,1749662127.143815,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749663221.473452,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749663291.350405,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749674408.202764,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749674447.559291,instagram,Europe/Lisbon,
,,False,closedApp,1749674494.434411,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749675702.342773,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749675925.077619,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749675981.963556,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749677039.530325,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749679265.250893,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749679336.797377,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749709892.411809,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749709937.1453118,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749710281.100764,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749710379.01176,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749720659.551363,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749720854.003941,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749728224.645227,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749728286.434205,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749728305.039764,instagram,Europe/Lisbon,60.0
1.5,breathingExercise,False,openedApp,1749729040.273257,instagram,Europe/Lisbon,60.0
,,False,closedApp,1749729133.242474,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749733540.415331,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749733727.824977,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749736952.208525,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749737168.263264,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749737275.777194,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749737361.044548,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749739039.860168,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749739095.403274,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749749408.602865,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749749450.895465,instagram,Europe/Lisbon,
,,False,closedApp,1749749609.465547,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749759543.494007,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749759579.072314,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749761146.443437,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749763914.0627398,instagram,Europe/Lisbon,300.0
,,False,closedApp,1749764078.541524,instagram,Europe/Lisbon,
,,False,closedApp,1749764083.792444,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749799908.8006291,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749799938.756672,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749807022.743504,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749807045.0907822,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749813944.41005,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749813977.8963761,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749814890.712068,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749815077.158749,instagram,Europe/Lisbon,
1.5,breathingExercise,False,dismissedAppOpening,1749816081.395639,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749820816.577023,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749820950.680309,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749823934.096602,instagram,Europe/Lisbon,120.0
,,False,closedApp,1749823995.4488,instagram,Europe/Lisbon,
1.5,breathingExercise,False,openedApp,1749824661.353629,instagram,Europe/Lisbon,180.0
,,False,closedApp,1749824747.379698,instagram,Europe/Lisbon,
,,False,closedApp,1749824885.7451658,instagram,Europe/Lisbon,
