timestamp,interventionType,isReIntervention,app,timezone,resolution,purpose,interventionDuration
1753168231.3258262,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753168387.98799,breathingExercise,False,telegram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753168615.674197,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753168997.073656,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753169234.631363,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753169339.524538,breathingExercise,False,telegram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753169362.9224281,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753169485.916482,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753169572.271687,breathingExercise,False,telegram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753169603.950433,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753169652.5801358,breathingExercise,False,telegram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753169696.172698,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753169854.779289,breathingExercise,False,telegram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753170850.626793,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753170939.986493,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753171153.166103,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753171490.4647179,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753172689.5102549,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753173662.2244759,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753174655.487015,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753174835.830841,breathingExercise,False,telegram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753174875.227248,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753175568.035794,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753176668.252306,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753177652.703864,breathingExercise,False,telegram,Asia/Tbilisi,dismissedAppOpening,,1.5
1753178187.3632898,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753178605.283266,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753179416.978569,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753179512.843429,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753179595.070507,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753179894.480466,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753180056.913815,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753180075.579701,breathingExercise,False,twitter,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753181011.3081632,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753182662.097543,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753184445.373358,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753185050.817055,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753185496.4518418,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753185942.338793,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753186590.657086,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753195397.6498032,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753195419.6890678,breathingExercise,False,twitter,Asia/Tbilisi,dismissedAppOpening,,1.5
1753196488.50592,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753198554.714752,breathingExercise,False,twitter,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753205463.5206861,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753205669.449394,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,В туалете,1.5
1753208765.271487,breathingExercise,False,instagram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753216999.7153668,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
1753220702.209727,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753250095.4055328,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Оставайтесь в курсе событий,1.5
1753254037.435808,breathingExercise,False,telegram,Asia/Tbilisi,openedApp,Написать сообщение,1.5
