timezone,resolution,interventionType,app,interventionDuration,timestamp,isReIntervention
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749318758.2945452,False
Europe/Rome,openedApp,,tikTok,,1749332164.946341,False
Europe/Rome,closedApp,,tikTok,,1749333064.946341,False
Europe/Rome,dismissedAppOpening,,tikTok,,1749333064.946341,False
Europe/Rome,openedApp,,tikTok,,1749395227.814137,False
Europe/Rome,closedApp,,tikTok,,1749396127.814138,False
Europe/Rome,dismissedAppOpening,,tikTok,,1749396127.814138,False
Europe/Rome,openedApp,,tikTok,,1749412845.337597,False
Europe/Rome,closedApp,,tikTok,,1749413745.337597,False
Europe/Rome,dismissedAppOpening,,tikTok,,1749413745.3375978,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749413796.056457,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749417705.78623,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749479048.9557738,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749498819.369205,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749500428.331002,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749538493.767729,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749539765.007096,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749568524.01859,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749572183.228006,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749662122.891803,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749673919.494708,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749676533.698228,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749681366.481762,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749726969.10552,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749750629.0247722,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749752439.047004,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749759413.6739302,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749850765.6752238,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1749904733.566354,False
Europe/Rome,dismissedAppOpening,breathingExercise,tikTok,1.5,1750070633.340837,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750070671.5985498,False
Europe/Rome,openedApp,,tikTok,,1750069753.287493,False
Europe/Rome,closedApp,,tikTok,,1750070653.287493,False
Europe/Rome,dismissedAppOpening,,tikTok,,1750070653.287493,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750073804.7909122,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750087987.800875,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750167714.275464,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750178172.665895,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750189683.367855,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750191322.298842,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750292568.374608,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750344707.562393,False
Europe/Rome,dismissedAppOpening,breathingExercise,tikTok,1.5,1750355557.225877,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750355574.517472,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750434773.887799,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750449086.697319,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750452817.969619,False
Europe/Rome,dismissedAppOpening,breathingExercise,tikTok,1.5,1750452818.369128,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750454197.802383,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750502453.108759,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750505349.521394,False
Europe/Rome,openedApp,breathingExercise,tikTok,1.5,1750508555.46878,False
Europe/Rome,openedApp,breathingExercise,tikTok,6.0,1750598571.7433472,False
Europe/Rome,openedApp,breathingExercise,tikTok,6.0,1750604171.610674,False
Europe/Rome,openedApp,breathingExercise,tikTok,6.0,1750605327.51315,False
Europe/Rome,openedApp,breathingExercise,tikTok,6.0,1750638485.250148,False
Europe/Rome,openedApp,breathingExercise,tikTok,6.0,1750676029.779889,False
Europe/Rome,openedApp,breathingExercise,tikTok,6.0,1750697582.298792,False
Europe/Rome,openedApp,breathingExercise,tikTok,6.0,1750706121.9408221,False
Europe/Rome,openedApp,breathingExercise,tikTok,6.0,1750720573.24923,False
Europe/Rome,openedApp,breathingExercise,tikTok,6.0,1750764904.0143108,False
Europe/Rome,openedApp,breathingExercise,tikTok,6.0,1750801264.8227792,False
Europe/Rome,openedApp,breathingExercise,tikTok,6.0,1750803328.124227,False
Europe/Rome,openedApp,breathingExercise,tikTok,6.0,1750863313.428134,False
