timestamp,app,timezone,isReIntervention,resolution,interventionType,interventionDuration,purpose,timeIntervalUntilReIntervention
1749244304.221266,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749244400.984435,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749244786.457312,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Bored,180.0
1749247076.507175,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749253433.96098,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749254374.7749581,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749254424.954078,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749254429.862039,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749261060.546494,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749261260.010081,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Entertainment,
1749263003.201542,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749267411.276933,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749267454.440878,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749270114.107857,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,
1749271095.9621758,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,180.0
1749305082.524267,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,240.0
1749305305.3500872,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,
1749307869.164298,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749309753.2458649,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Bored,
1749311035.629694,tikTok,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749311250.801526,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749312538.516525,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749317256.6900458,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Bored,
1749318198.717712,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Bored,
1749320020.9667,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749320472.096353,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749335640.858844,instagram,America/Los_Angeles,False,dismissedAppOpening,breathingExercise,1.5,,
1749338113.721353,instagram,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Stay In the Loop,120.0
1749338251.612442,tikTok,America/Los_Angeles,False,openedApp,breathingExercise,1.5,Bored,
