timezone,timestamp,isReIntervention,app,resolution,interventionDuration,interventionType
America/Indiana/Indianapolis,1749080354.273128,False,instagram,openedApp,,
America/Indiana/Indianapolis,1749080594.273128,False,instagram,closedApp,,
America/Indiana/Indianapolis,1749080594.273128,False,instagram,dismissedAppOpening,,
America/Indiana/Indianapolis,1749080388.653717,False,instagram,openedApp,,
America/Indiana/Indianapolis,1749080628.653718,False,instagram,closedApp,,
America/Indiana/Indianapolis,1749080628.653718,False,instagram,dismissedAppOpening,,
America/Indiana/Indianapolis,1749137413.187638,False,instagram,openedApp,1.5,breathingExercise
America/Indiana/Indianapolis,1749141426.009705,False,instagram,openedApp,,
America/Indiana/Indianapolis,1749141666.009705,False,instagram,closedApp,,
America/Indiana/Indianapolis,1749141666.009705,False,instagram,dismissedAppOpening,,
America/Indiana/Indianapolis,1749147688.282771,False,instagram,openedApp,,
America/Indiana/Indianapolis,1749147928.282771,False,instagram,closedApp,,
America/Indiana/Indianapolis,1749147928.282771,False,instagram,dismissedAppOpening,,
America/Indiana/Indianapolis,1749155758.112189,False,instagram,openedApp,,
America/Indiana/Indianapolis,1749155998.112189,False,instagram,closedApp,,
America/Indiana/Indianapolis,1749155998.112189,False,instagram,dismissedAppOpening,,
America/Indiana/Indianapolis,1749165472.0706291,False,instagram,openedApp,,
America/Indiana/Indianapolis,1749165712.0706291,False,instagram,closedApp,,
America/Indiana/Indianapolis,1749165712.0706291,False,instagram,dismissedAppOpening,,
America/Indiana/Indianapolis,1749165944.742955,False,instagram,openedApp,1.5,breathingExercise
America/Indiana/Indianapolis,1749165767.048799,False,instagram,openedApp,,
America/Indiana/Indianapolis,1749166007.048799,False,instagram,closedApp,,
America/Indiana/Indianapolis,1749166007.0488,False,instagram,dismissedAppOpening,,
America/Indiana/Indianapolis,1749165812.334032,False,instagram,openedApp,,
America/Indiana/Indianapolis,1749166052.334032,False,instagram,closedApp,,
America/Indiana/Indianapolis,1749166052.334033,False,instagram,dismissedAppOpening,,
America/Indiana/Indianapolis,1749167054.687552,False,instagram,openedApp,,
America/Indiana/Indianapolis,1749167294.687552,False,instagram,closedApp,,
America/Indiana/Indianapolis,1749167294.687552,False,instagram,dismissedAppOpening,,
America/Indiana/Indianapolis,1749168992.866379,False,instagram,openedApp,,
America/Indiana/Indianapolis,1749169232.866379,False,instagram,closedApp,,
America/Indiana/Indianapolis,1749169232.866379,False,instagram,dismissedAppOpening,,
America/Indiana/Indianapolis,1749170517.129362,False,instagram,openedApp,1.5,breathingExercise
America/Indiana/Indianapolis,1749171155.2646708,False,instagram,openedApp,,
America/Indiana/Indianapolis,1749171395.2646708,False,instagram,closedApp,,
America/Indiana/Indianapolis,1749171395.2646708,False,instagram,dismissedAppOpening,,
America/Indiana/Indianapolis,1749171644.143207,False,instagram,openedApp,,
America/Indiana/Indianapolis,1749171884.143207,False,instagram,closedApp,,
