interventionType,timestamp,resolution,interventionDuration,isReIntervention,timezone,app,purpose
breathingExercise,1752519461.292148,openedApp,1.5,False,Asia/Tehran,instagram,Post something
breathingExercise,1752519640.768686,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752519661.063806,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752519839.3869781,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752519993.026725,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752520708.2179918,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752523176.53928,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752548270.187951,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752556331.478725,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752558972.3814921,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752559286.481711,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752563007.4474359,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752563071.1598911,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752563582.8166919,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752563652.325521,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752563733.600682,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752563916.3628402,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752564201.4243212,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752568645.954674,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752568676.8652701,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752568832.320492,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752570200.589714,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752574535.0130382,openedApp,1.5,False,Asia/Tehran,instagram,Bored
breathingExercise,1752575637.30304,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752577612.803286,openedApp,1.5,False,Asia/Tehran,instagram,Escape / Avoid
breathingExercise,1752578312.52683,openedApp,1.5,False,Asia/Tehran,instagram,Stay In the Loop
breathingExercise,1752578954.213639,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752579293.052984,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752579313.086076,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752579412.085637,openedApp,1.5,False,Asia/Tehran,twitter,Post something
breathingExercise,1752580754.695518,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752587447.954543,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752588089.3843842,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752588707.754945,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752591426.8392692,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752591477.204619,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752593720.4120278,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752594092.027704,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752600883.770122,openedApp,1.5,False,Asia/Tehran,instagram,Bored
breathingExercise,1752601282.5975251,openedApp,1.5,False,Asia/Tehran,twitter,Post something
breathingExercise,1752601806.811253,openedApp,1.5,False,Asia/Tehran,twitter,Post something
breathingExercise,1752602556.080517,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752602893.841536,openedApp,1.5,False,Asia/Tehran,instagram,Bored
breathingExercise,1752604925.310049,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752605001.5771089,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752605460.367161,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752605789.564052,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752605947.482582,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752606093.367595,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752606101.870895,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752606879.017185,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752607238.362698,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752607415.626433,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752607819.846992,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752607824.048526,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752607832.2829351,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752609269.3570251,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752610546.503772,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752610705.455189,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752610946.204329,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752610986.945482,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752611473.099339,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752611482.29475,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752611570.6154141,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752611580.837476,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752628118.89412,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752628131.961894,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752628321.905411,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752628427.2384028,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752644820.70393,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752644981.791656,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752645074.242525,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752647615.4823198,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752649877.0700421,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752649973.555558,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752651761.5974379,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752658771.541764,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752658893.183671,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752659218.853397,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752659839.2778878,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752659954.027456,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752660013.5803719,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752660307.0100322,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752660894.254665,openedApp,1.5,False,Asia/Tehran,instagram,Search Info
breathingExercise,1752662923.114758,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752663961.435545,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752665278.392365,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752667932.465126,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752671046.554879,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752671323.582628,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752671698.500599,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752672507.8925261,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752672534.2246408,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752673309.416658,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752674499.357507,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752675405.1358318,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752675503.804954,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752676391.3398929,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752676496.7859678,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752676557.679956,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752676692.280477,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752676757.442325,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752676970.0433412,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752677156.854244,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752677199.554523,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752677501.357861,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752677556.633627,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752678977.297287,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752679509.88117,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752679712.9094071,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752680126.4058828,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752680153.267465,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752681205.074579,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752681922.195397,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752682490.220043,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752682531.308051,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752683493.173487,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752683538.565748,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752683837.623667,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752683865.586475,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752684068.920374,dismissedAppOpening,1.5,False,Asia/Tehran,twitter,
breathingExercise,1752684803.955828,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752684899.351306,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752686043.87801,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752686648.431314,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752687458.49465,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
breathingExercise,1752690488.790683,dismissedAppOpening,1.5,False,Asia/Tehran,instagram,
breathingExercise,1752690773.522666,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752691117.225724,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752691331.44342,openedApp,1.5,False,Asia/Tehran,instagram,Check likes
breathingExercise,1752691397.46698,openedApp,1.5,False,Asia/Tehran,twitter,Check likes
