timezone,app,isReIntervention,timestamp,resolution,interventionDuration,interventionType
Asia/Tehran,instagram,False,1752558951.1029701,openedApp,,
Asia/Tehran,instagram,False,1752559071.1029701,closedApp,,
Asia/Tehran,instagram,False,1752559071.1029701,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752566975.471511,dismissedAppOpening,1.5,breathingExercise
Asia/Tehran,instagram,False,1752566984.7513409,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752567839.063477,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752573036.28086,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752574029.851797,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752575706.712177,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752582821.7769918,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752585261.370712,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752586170.628022,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752587826.439687,dismissedAppOpening,1.5,breathingExercise
Asia/Tehran,instagram,False,1752588225.9270082,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752590073.6120129,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752594284.579578,openedApp,,
Asia/Tehran,instagram,False,1752594404.579578,closedApp,,
Asia/Tehran,instagram,False,1752594404.579578,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752594637.34989,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752595373.979878,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752597198.873786,openedApp,,
Asia/Tehran,instagram,False,1752597318.873786,closedApp,,
Asia/Tehran,instagram,False,1752597318.873786,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752599230.812077,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752601862.91921,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752604407.354038,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752610217.356299,openedApp,,
Asia/Tehran,instagram,False,1752610337.356299,closedApp,,
Asia/Tehran,instagram,False,1752610337.356299,dismissedAppOpening,,
Asia/Tehran,instagram,False,1752610348.214052,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752612729.604957,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752615205.3044481,openedApp,1.5,breathingExercise
Asia/Tehran,instagram,False,1752643462.5240831,openedApp,1.5,breathingExercise
