interventionDuration,timezone,app,resolution,interventionType,isReIntervention,timestamp
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1749337110.000193
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1749337182.6377568
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749346306.154189
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749346325.205593
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1749346762.852987
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1749346929.592603
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749348781.2191281
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749363621.731063
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749368441.776139
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749372345.487071
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749372360.312005
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749419519.785191
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1749419532.7217221
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749419540.986007
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749419853.778899
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749420037.7470078
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749433474.3298311
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1749449681.321888
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1749449738.726427
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749452673.459605
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1749452691.0328422
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1749460278.713438
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1749509420.383247
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749533171.02963
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1749540482.251998
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1749556765.9343271
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1749623666.9746299
1.5,Australia/Hobart,instagram,openedApp,breathingExercise,False,1749795747.65914
1.5,Australia/Hobart,instagram,dismissedAppOpening,breathingExercise,False,1749861849.278288
1.5,Australia/Hobart,instagram,dismissedAppOpening,breathingExercise,False,1749967493.5339751
1.5,Australia/Hobart,instagram,dismissedAppOpening,breathingExercise,False,1749967507.515913
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750021170.8407369
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750021242.925313
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750021935.496789
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750235144.520519
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750286155.775487
1.5,Australia/Sydney,instagram,openedApp,breathingExercise,False,1750322119.849595
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750366454.5435228
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750366816.5008821
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750367985.245007
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750455242.829599
1.5,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750537977.343421
6.0,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750632967.6923199
6.0,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750709359.764682
6.0,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750796084.878727
6.0,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1750796103.562917
6.0,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1751080994.528599
6.0,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1751086721.827596
6.0,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1751322932.768414
6.0,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1751536651.9966931
6.0,Australia/Sydney,instagram,dismissedAppOpening,breathingExercise,False,1752185224.626265
6.0,Australia/Sydney,instagram,openedApp,breathingExercise,False,1752389642.193716
