interventionDuration,app,interventionType,timeIntervalUntilReIntervention,resolution,timezone,isReIntervention,timestamp
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750325578.1660619
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1750325762.9864268
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1750325786.701096
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750327195.4404368
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750346483.297418
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750346895.13181
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750347827.012805
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750348099.41335
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750348800.210069
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750348888.047693
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750349503.651044
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750350112.5194468
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750350318.09002
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750350386.797019
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750351993.613855
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750352842.958271
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750356890.8825731
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750357503.113657
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750358109.742758
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750361377.074998
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1750361779.267828
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750361966.84726
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1750362032.024561
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750362039.695908
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750364153.559423
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750365447.297234
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750366254.8396811
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750366923.929517
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750367164.658825
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750369814.363377
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750372358.0803208
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750374535.046527
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750381525.5378308
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750392548.4256601
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750440682.165563
1.5,snapchat,breathingExercise,480.0,openedApp,America/Denver,False,1750453781.1544309
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1750480443.000375
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750613948.694514
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750615596.297241
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750622014.739516
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1750622047.5892758
1.5,snapchat,breathingExercise,540.0,openedApp,America/Denver,False,1750627386.866169
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750633973.754085
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750641539.072053
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750648695.1077762
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750649541.8126569
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750691123.419261
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750692237.7866302
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750695994.183424
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750698547.957109
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750700956.8991718
1.5,snapchat,breathingExercise,480.0,openedApp,America/Denver,False,1750709557.844408
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750712003.973948
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750718885.550836
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750721464.342083
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750722885.0650969
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750729204.8080711
1.5,snapchat,breathingExercise,540.0,openedApp,America/Denver,False,1750730304.61828
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750731743.001821
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1750743323.4290261
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750746955.7445688
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750749164.598747
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1750754612.8057451
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750787462.701515
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750787523.505017
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750798641.8819609
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750799690.718391
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750810143.341662
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750810803.921874
1.5,snapchat,breathingExercise,540.0,openedApp,America/Denver,False,1750811594.195283
1.5,snapchat,breathingExercise,540.0,openedApp,America/Denver,False,1750813259.299172
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750817856.152143
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750818476.301893
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1750818711.702703
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750818909.6917582
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750820221.4791942
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750821716.502286
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750822249.75979
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750868903.4120479
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750870191.1026511
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750870801.50487
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1750873755.428262
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750873780.952867
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750874406.528799
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750875432.530922
1.5,snapchat,breathingExercise,240.0,openedApp,America/Denver,False,1750876194.097163
1.5,snapchat,breathingExercise,360.0,openedApp,America/Denver,False,1750878915.322995
1.5,snapchat,breathingExercise,540.0,openedApp,America/Denver,True,1750881256.691543
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750881278.2202501
1.5,snapchat,breathingExercise,480.0,openedApp,America/Denver,False,1750881509.505141
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750882100.809626
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750882716.902056
1.5,snapchat,breathingExercise,60.0,openedApp,America/Denver,False,1750883465.503902
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1750883532.4362721
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1750883534.6175718
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750883542.528888
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750884150.661728
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750884758.115294
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750885369.609033
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750885969.9800029
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750891142.6736069
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750891685.0353441
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750892167.932714
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750892784.669685
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750893384.0212688
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750893989.3241382
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750894587.869262
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750895255.117887
1.5,snapchat,breathingExercise,540.0,openedApp,America/Denver,False,1750895918.565854
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750896470.725384
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750897071.2825398
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750897737.322099
1.5,snapchat,breathingExercise,540.0,openedApp,America/Denver,True,1750898741.34007
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750899290.913159
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750899903.348582
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750900118.895227
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1750900258.0380092
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750900870.431738
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1750901479.8381782
1.5,snapchat,breathingExercise,240.0,openedApp,America/Denver,False,1750934967.879374
1.5,snapchat,breathingExercise,600.0,openedApp,America/Chicago,False,1751031118.294188
1.5,snapchat,breathingExercise,600.0,openedApp,America/Chicago,False,1751086493.060494
1.5,snapchat,breathingExercise,600.0,openedApp,America/Chicago,False,1751115446.027162
1.5,snapchat,breathingExercise,480.0,openedApp,America/Chicago,False,1751130174.6240401
1.5,snapchat,breathingExercise,420.0,openedApp,America/Chicago,False,1751130580.6721869
1.5,snapchat,breathingExercise,480.0,openedApp,America/Chicago,False,1751165485.9508781
1.5,snapchat,breathingExercise,480.0,openedApp,America/Chicago,False,1751165563.34651
1.5,snapchat,breathingExercise,600.0,openedApp,America/Chicago,False,1751170142.7002769
1.5,snapchat,breathingExercise,540.0,openedApp,America/Chicago,False,1751220793.46765
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751436739.112544
1.5,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751503559.862828
1.5,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1751512183.8598552
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751558058.53283
6.0,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1751558058.79815
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751558453.043814
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751559549.0324922
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751560027.138329
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751563271.234447
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751567471.410223
6.0,snapchat,breathingExercise,540.0,openedApp,America/Denver,False,1751568741.3607678
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751569188.594897
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751571307.315261
6.0,snapchat,breathingExercise,420.0,openedApp,America/Denver,False,1751571488.10324
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751572182.733006
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751572701.3452969
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751573601.218668
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751574223.35436
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751575512.070504
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751576658.901709
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751577466.656777
6.0,snapchat,breathingExercise,540.0,openedApp,America/Denver,False,1751591910.979401
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751602901.103123
6.0,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1751602955.867672
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751646741.90687
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751646873.846531
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751656326.148102
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751741334.463808
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751822120.657932
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,True,1751822740.090626
6.0,snapchat,breathingExercise,,dismissedAppOpening,America/Denver,False,1751824525.207793
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751824577.664201
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751828795.732595
6.0,snapchat,breathingExercise,600.0,openedApp,America/Denver,False,1751831002.753399
