timestamp,interventionType,resolution,interventionDuration,app,timezone,isReIntervention
1750790055.958435,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750799073.3913841,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750799337.9853048,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750800363.093929,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750807161.757534,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750816852.7180471,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750817082.9002771,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750825766.757302,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750856320.673575,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750861503.429707,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750864936.787249,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750867401.9369001,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750872329.505475,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750874431.0760999,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750874489.567947,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750878550.861022,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750878622.756761,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750884463.5286899,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750887793.745117,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750887975.5745869,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750888828.16222,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750888892.719518,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750888909.946873,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750890869.285517,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750895324.1552138,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750906244.44346,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750907060.428199,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750907437.200707,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750907876.74353,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750908077.50512,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750909927.54851,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750958268.021972,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750958395.785976,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750958402.8411942,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750960727.700696,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750963623.289995,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750967942.1852288,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750975053.0190191,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750975106.296183,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750975191.561316,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750976143.2912931,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750977816.6494641,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750978552.563405,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750980990.845906,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750981168.3918939,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750984156.035888,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1750984338.355575,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750984863.3093991,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1750985110.7171931,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751046898.884707,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751051826.2016249,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751051969.393929,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751054275.990031,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751059974.287132,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751060481.977829,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751065177.2941031,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751079977.728049,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751081549.691405,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751083586.0843282,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751086359.546263,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751087121.974926,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751087506.539182,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751092309.473367,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751092401.405661,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751094828.7898011,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751094870.910151,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751124034.364274,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751125398.882138,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751125507.899787,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751125534.0068998,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751125557.5640311,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751127723.639065,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751130197.8403559,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751132689.858261,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751137210.985528,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751138757.33725,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751142749.049952,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751146679.308167,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751157948.711582,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751159632.959125,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751159979.533732,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751165188.998118,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751166535.0478392,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751169892.78845,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751170544.199308,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751172754.735527,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751173248.6018791,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751173584.40618,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751174101.642946,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751204511.6950068,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751213752.98592,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751218322.950451,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751218460.564137,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751218737.803854,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751219267.503323,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751226698.19802,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751226749.181405,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751228697.492338,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751229283.43683,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751229865.916669,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751229945.491631,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751230268.0905762,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751230521.978909,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751230774.9646559,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751231687.823872,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751232435.742914,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751236304.257354,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751239604.950461,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751240740.131844,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751244870.412375,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751247429.966001,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751247655.478051,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751247759.555337,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751248019.898756,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751248116.419002,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751248826.096108,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751255966.08658,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751260372.200422,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751292806.4906878,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751297223.4947782,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751298705.031993,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751298742.117001,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751302413.82183,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751307932.813445,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751309727.7556381,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751310111.061852,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751312718.105725,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751321375.82472,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751322906.85464,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751326722.131174,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751326781.9635491,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751331223.62993,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751331563.269631,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751333792.6558352,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751334640.539984,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751378229.88498,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751382488.415937,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751382503.333228,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751391065.0698671,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751391145.457773,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751395130.405278,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751409718.9123101,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751410184.199517,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751413035.12394,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751413043.024328,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751413084.6109571,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751424129.024661,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751427332.3319511,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751467151.735569,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751467879.098867,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751468020.643302,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751469845.930085,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751470197.148004,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751471249.8573751,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751483297.774368,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751505421.036387,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751550620.058356,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751554231.9796948,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751554261.161747,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751555185.421932,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751561197.77451,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751563403.240967,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751564155.614639,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751567985.988852,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751568239.567459,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751568261.950239,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751568894.314822,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751568908.412757,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751572135.829462,breathingExercise,dismissedAppOpening,1.5,instagram,America/Bogota,False
1751577736.2451,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
1751578548.642939,breathingExercise,openedApp,1.5,instagram,America/Bogota,False
