timezone,app,isReIntervention,interventionDuration,resolution,interventionType,timestamp
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749227595.016623
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749227729.851479
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749229123.3150449
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749230171.372291
Europe/Berlin,instagram,False,1.5,dismissedAppOpening,breathingExercise,1749231701.952759
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749231717.39516
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749237496.692092
Europe/Berlin,instagram,False,1.5,dismissedAppOpening,breathingExercise,1749237928.916775
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749238030.88479
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749240710.424079
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749243822.146356
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749244246.852395
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749309307.561331
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749311796.213303
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749315064.022826
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749327482.4659572
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749327619.2432199
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749331460.086753
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749333510.350368
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749335144.537691
Europe/Berlin,instagram,False,1.5,dismissedAppOpening,breathingExercise,1749335351.993002
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749366661.961482
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749376719.1915488
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749376823.506293
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749384777.208292
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749388788.936171
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749400221.897266
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749413978.3531408
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749416443.939951
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749450882.7129822
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749451204.9335198
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749483276.622221
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749488264.511085
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749502097.491287
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749542787.064217
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749544541.4489598
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749544958.6393151
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749545044.996439
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749547421.464879
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749547568.570609
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749550810.246424
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749622720.56478
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749646951.382042
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749647324.352275
Europe/Berlin,instagram,False,1.5,dismissedAppOpening,breathingExercise,1749647850.662225
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749647950.120671
Europe/Berlin,instagram,False,1.5,openedApp,breathingExercise,1749649937.8496652
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749658671.918037
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749660013.957628
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749662070.730589
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1749664191.053565
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749743478.196138
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749761464.0554218
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749804917.9415998
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749818130.493194
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749818702.654567
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749820058.2490392
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749837426.731693
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749838617.89395
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1749855382.398242
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749855431.748602
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749884968.9126391
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749889349.916843
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749899036.9665189
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1749899351.3043818
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749911328.413619
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749923454.8898048
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749923508.843295
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749923725.972705
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749932095.0930262
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749984365.637111
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749985799.728971
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749987464.6499
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1749998222.173372
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750001017.41173
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750001418.390055
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750018656.5101628
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750024341.397897
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750062017.94117
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750085832.986011
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750096124.4623132
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750097305.0952091
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750097321.934214
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750160647.355781
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750161720.626287
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750175094.7260308
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750175445.515526
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750199466.0274692
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750242477.576974
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750266529.369539
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750266544.28754
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750272147.7779012
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750276976.833764
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750316943.932246
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750336677.628999
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750359699.3845038
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750360019.336533
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750361946.9511461
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750362356.299638
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750366596.8821158
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750374165.774759
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750374314.9530048
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750407829.3014321
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750407907.732398
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750407927.248386
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750410983.195125
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750411266.3276
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750414809.759657
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750423420.875027
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750423965.6537719
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750424247.643018
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750430813.9812489
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750431093.44457
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750431246.7083778
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750486718.804179
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750512935.346867
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750512949.5474958
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750516096.375243
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750518917.6866841
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750519337.92962
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750519393.526723
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750519443.880385
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750529869.530702
Europe/Berlin,instagram,False,6.0,openedApp,breathingExercise,1750570675.976304
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750579262.876608
Europe/Berlin,instagram,False,6.0,dismissedAppOpening,breathingExercise,1750581041.5207682
