interventionDuration,resolution,timestamp,timezone,app,isReIntervention,interventionType
1.5,openedApp,1753194478.190343,Europe/Madrid,tikTok,False,breathingExercise
1.5,openedApp,1753199926.1102,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753200338.7126698,Europe/Madrid,snapchat,False,breathingExercise
1.5,dismissedAppOpening,1753200352.036035,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753201957.93501,Europe/Madrid,snapchat,False,breathingExercise
1.5,dismissedAppOpening,1753202199.152169,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753202454.496135,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753202824.595948,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753203698.978149,Europe/Madrid,instagram,False,breathingExercise
1.5,openedApp,1753204183.834233,Europe/Madrid,instagram,False,breathingExercise
1.5,openedApp,1753208159.879977,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753208773.78108,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753221019.737545,Europe/Madrid,snapchat,False,breathingExercise
1.5,dismissedAppOpening,1753221232.866469,Europe/Madrid,tikTok,False,breathingExercise
1.5,openedApp,1753250144.6185231,Europe/Madrid,tikTok,False,breathingExercise
1.5,dismissedAppOpening,1753251419.987062,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753251425.493195,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753262778.891343,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753274567.738487,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753275452.5570989,Europe/Madrid,instagram,False,breathingExercise
1.5,openedApp,1753276228.480998,Europe/Madrid,tikTok,False,breathingExercise
1.5,openedApp,1753276387.4044452,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753276727.687852,Europe/Madrid,snapchat,False,breathingExercise
1.5,openedApp,1753280860.7575378,Europe/Madrid,tikTok,False,breathingExercise
1.5,dismissedAppOpening,1753286894.3236809,Europe/Madrid,tikTok,False,breathingExercise
1.5,openedApp,1753286902.3657122,Europe/Madrid,tikTok,False,breathingExercise
1.5,dismissedAppOpening,1753288120.560091,Europe/Madrid,tikTok,False,breathingExercise
1.5,openedApp,1753294772.6288729,Europe/Madrid,tikTok,False,breathingExercise
