resolution,timestamp,isReIntervention,app,timezone,interventionType,interventionDuration
dismissedAppOpening,1750704616.168384,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750706003.540519,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750706168.482871,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750706171.787183,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750706199.924031,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750706493.13124,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750707223.814098,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750707396.582932,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750707594.536015,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750709316.972091,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750709603.571193,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750710093.098141,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750710468.27922,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750711285.9666638,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750712121.781282,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750751046.222007,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750751369.661049,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750751706.016241,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750753062.3116899,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750756937.967025,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750758528.660058,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750758710.660297,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750758713.857411,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750758734.154124,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750759643.778058,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750760641.4645019,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750760749.3938189,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750760919.564636,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750760968.558948,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750765660.578432,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750765850.222238,False,instagram,Asia/Kolkata,breathingExercise,1.5
openedApp,1750766136.4343119,False,instagram,Asia/Kolkata,breathingExercise,1.5
dismissedAppOpening,1750766228.801715,False,instagram,Asia/Kolkata,breathingExercise,1.5
