timezone,isReIntervention,resolution,timestamp,app
America/New_York,False,closedApp,1750436274.539987,safari
America/New_York,False,closedApp,1750436698.935827,safari
America/New_York,False,closedApp,1750436716.383419,safari
America/New_York,False,closedApp,1750436773.874305,safari
America/New_York,False,closedApp,1750436841.7176661,safari
America/New_York,False,closedApp,1750438823.495089,safari
America/New_York,False,closedApp,1750443937.100967,safari
America/New_York,False,closedApp,1750444872.8559752,safari
America/New_York,False,closedApp,1750446353.6926079,safari
America/New_York,False,closedApp,1750461263.3216429,safari
America/New_York,False,closedApp,1750461291.802847,safari
America/New_York,False,closedApp,1750461306.361713,safari
America/New_York,False,closedApp,1750461350.323709,safari
America/New_York,False,closedApp,1750461399.044734,safari
America/New_York,False,closedApp,1750461741.407987,safari
America/New_York,False,closedApp,1750461741.529931,safari
America/New_York,False,closedApp,1750482747.689609,safari
America/New_York,False,closedApp,1750482767.675898,safari
America/New_York,False,closedApp,1750482780.765863,safari
America/New_York,False,closedApp,1750482802.7412992,safari
America/New_York,False,closedApp,1750482816.896895,safari
America/New_York,False,closedApp,1750482835.707509,safari
America/New_York,False,closedApp,1750482864.122511,safari
America/New_York,False,closedApp,1750483102.346833,safari
America/New_York,False,closedApp,1750483494.607559,safari
America/New_York,False,closedApp,1750483523.4546208,safari
America/New_York,False,closedApp,1750483688.141343,safari
America/New_York,False,closedApp,1750483715.5138931,safari
America/New_York,False,closedApp,1750484815.86125,safari
America/New_York,False,closedApp,1750510255.402999,safari
America/New_York,False,closedApp,1750510264.018184,safari
America/New_York,False,closedApp,1750510406.496173,safari
America/New_York,False,closedApp,1750512874.0233269,safari
America/New_York,False,closedApp,1750559792.782,safari
America/New_York,False,closedApp,1750559804.4462771,safari
America/New_York,False,closedApp,1750559949.6851249,safari
America/New_York,False,closedApp,1750560027.0672321,safari
America/New_York,False,closedApp,1750560112.6754708,safari
America/New_York,False,closedApp,1750560124.147619,safari
America/New_York,False,closedApp,1750562963.4453092,safari
America/New_York,False,closedApp,1750564595.2046452,safari
America/New_York,False,closedApp,1750647694.047593,safari
