resolution,isReIntervention,timeIntervalUntilReIntervention,timezone,purpose,timestamp,app,interventionDuration,interventionType
openedApp,False,,Europe/Madrid,Entertainment,1752937100.7060099,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1752938770.0832748,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1752941657.5424252,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1752943164.618915,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1752943787.815641,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1752947298.027133,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1752948597.553029,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1752949608.577496,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1752950843.525862,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1752958213.156693,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1752958521.307306,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Post something,1752958571.876235,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1752994082.27492,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1752994377.776093,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1752994525.001995,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1752994587.345967,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1752994587.3889,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1752994894.7957,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Stay In the Loop,1752997059.2473478,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1752997808.3941379,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1752998759.631639,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1753002250.136683,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753003121.034615,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753008696.885017,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Post something,1753008793.9342952,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1753014210.5895019,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753014299.974757,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Entertainment,1753017217.441584,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753018565.8463302,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753019283.9213629,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Bored,1753019770.622915,instagram,6.0,breathingExercise
openedApp,False,,Europe/Madrid,Escape / Avoid,1753021023.548224,instagram,6.0,breathingExercise
dismissedAppOpening,False,,Europe/Madrid,,1753021377.815353,instagram,6.0,breathingExercise
