resolution,timestamp,interventionType,timezone,app,isReIntervention,interventionDuration,purpose,timeIntervalUntilReIntervention
dismissedAppOpening,1751680362.511688,journaling,America/Bogota,tikTok,False,,,
dismissedAppOpening,1751680454.143134,journaling,America/Bogota,instagram,False,,,
dismissedAppOpening,1751680499.203646,breathingExercise,America/Bogota,twitter,False,1.5,,
openedApp,1751681772.642579,breathingExercise,America/Bogota,instagram,False,1.5,Entertainment,
openedApp,1751681912.366463,breathingExercise,America/Bogota,tikTok,False,1.5,Bored,
openedApp,1751682466.022538,breathingExercise,America/Bogota,tikTok,False,1.5,Bored,600.0
dismissedAppOpening,1751683108.866228,breathingExercise,America/Bogota,tikTok,True,1.5,,
dismissedAppOpening,1751736654.76368,breathingExercise,America/Bogota,instagram,False,1.5,,
openedApp,1751737746.858231,breathingExercise,America/Bogota,instagram,False,1.5,Stay In the Loop,120.0
openedApp,1751737834.8189821,breathingExercise,America/Bogota,tikTok,False,1.5,Entertainment,180.0
dismissedAppOpening,1751738459.579237,breathingExercise,America/Bogota,tikTok,False,1.5,,
dismissedAppOpening,1751739069.668354,breathingExercise,America/Bogota,instagram,False,1.5,,
openedApp,1751739083.533639,breathingExercise,America/Bogota,tikTok,False,1.5,Bored,600.0
openedApp,1751741389.600852,breathingExercise,America/Bogota,instagram,False,1.5,Stay In the Loop,120.0
openedApp,1751741611.29547,breathingExercise,America/Bogota,twitter,False,1.5,Stay In the Loop,300.0
openedApp,1751741840.182207,breathingExercise,America/Bogota,tikTok,False,1.5,Entertainment,420.0
openedApp,1751742173.154665,breathingExercise,America/Bogota,tikTok,False,1.5,Entertainment,600.0
dismissedAppOpening,1751742777.696992,breathingExercise,America/Bogota,instagram,False,1.5,,
openedApp,1751742916.908736,breathingExercise,America/Bogota,instagram,False,1.5,Message,60.0
openedApp,1751750562.512265,breathingExercise,America/Bogota,tikTok,False,1.5,Search Info,300.0
dismissedAppOpening,1751751025.968499,breathingExercise,America/Bogota,tikTok,False,1.5,,
dismissedAppOpening,1751754693.8291922,breathingExercise,America/Bogota,instagram,False,1.5,,
openedApp,1751754725.696494,breathingExercise,America/Bogota,instagram,False,1.5,Entertainment,180.0
