timezone,timestamp,interventionType,app,resolution,interventionDuration,isReIntervention,timeIntervalUntilReIntervention,purpose
America/Argentina/Buenos_Aires,1750980237.8274422,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1750984213.1623921,breathingExercise,instagram,openedApp,1.5,False,300.0,Post something
America/Argentina/Buenos_Aires,1750984529.56639,breathingExercise,instagram,openedApp,1.5,True,300.0,Entertainment
America/Argentina/Buenos_Aires,1750984839.990649,breathingExercise,instagram,openedApp,1.5,True,120.0,Stay In the Loop
America/Argentina/Buenos_Aires,1750988302.681061,breathingExercise,instagram,openedApp,1.5,False,60.0,Search Info
America/Argentina/Buenos_Aires,1750988375.235995,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751032244.795258,breathingExercise,instagram,openedApp,1.5,False,120.0,Message
America/Argentina/Buenos_Aires,1751032381.6266022,breathingExercise,instagram,openedApp,1.5,True,120.0,Message
America/Argentina/Buenos_Aires,1751032514.3569422,breathingExercise,instagram,openedApp,1.5,True,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751032613.36511,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751033108.088798,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751036022.413919,breathingExercise,instagram,openedApp,1.5,False,300.0,Message
America/Argentina/Buenos_Aires,1751036041.3612242,breathingExercise,instagram,openedApp,1.5,False,300.0,Message
America/Argentina/Buenos_Aires,1751037472.870164,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751040619.732795,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751041080.8743482,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751052538.3032022,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751075759.946344,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751086114.954622,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751086211.8988419,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751142551.2277641,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751142791.257574,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751143982.429367,breathingExercise,instagram,openedApp,1.5,False,180.0,Message
America/Argentina/Buenos_Aires,1751148232.856903,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751161300.417482,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751161822.9521608,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
America/Argentina/Buenos_Aires,1751162130.0307941,breathingExercise,instagram,dismissedAppOpening,1.5,False,,
America/Argentina/Buenos_Aires,1751164369.105068,breathingExercise,instagram,openedApp,1.5,False,300.0,Stay In the Loop
