timezone,interventionDuration,app,timestamp,interventionType,resolution,isReIntervention
America/Toronto,1.5,instagram,1750890479.55007,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750890703.613241,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750890772.6918159,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750891191.539507,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750891349.98903,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750891567.419547,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750891655.032891,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750891872.121955,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750892036.3295321,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750892642.131246,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750893088.294783,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750893504.987874,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750894815.923538,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750894967.937698,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750894973.662739,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750897016.3918371,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750898480.938208,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750899830.254665,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750899964.880053,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750901866.5476298,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750901944.842695,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750902621.128777,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750908796.766597,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750908867.925311,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750909857.1864839,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750910817.173038,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750911136.637453,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750911152.030833,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750911363.7357621,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750912785.647324,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750912852.4395561,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750913824.7467709,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750914708.178576,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750914745.396522,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750914765.527869,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750915647.587455,breathingExercise,dismissedAppOpening,False
America/Toronto,1.5,instagram,1750916542.0896401,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750916599.274661,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750917075.426507,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750917406.520432,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750922587.3138108,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750923492.225085,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750924160.196387,breathingExercise,openedApp,False
America/Toronto,1.5,instagram,1750925323.27486,breathingExercise,dismissedAppOpening,False
