interventionType,resolution,purpose,interventionDuration,isReIntervention,timestamp,timezone,app
breathingExercise,openedApp,Divertissement,1.5,False,1753721197.790835,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1753734326.1985412,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1753734811.523663,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1753734985.31008,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1753738060.343787,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1753738184.9979758,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1753739084.991572,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1753756495.874048,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1753763606.164703,Europe/Paris,youtube
breathingExercise,openedApp,Éviter / Fuir,1.5,False,1753765312.973157,Europe/Paris,youtube
breathingExercise,openedApp,Éviter / Fuir,1.5,False,1753799662.37565,Europe/Paris,youtube
breathingExercise,openedApp,Éviter / Fuir,1.5,False,1753799863.724841,Europe/Paris,youtube
breathingExercise,openedApp,Avant de dormir ,1.5,False,1753823215.97541,Europe/Paris,youtube
breathingExercise,openedApp,Avant de dormir ,1.5,False,1753823365.8018909,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1753823548.761685,Europe/Paris,youtube
breathingExercise,openedApp,Avant de dormir ,1.5,False,1753825025.656342,Europe/Paris,youtube
breathingExercise,openedApp,Avant de dormir ,1.5,False,1753825324.1986408,Europe/Paris,youtube
breathingExercise,openedApp,Avant de dormir ,1.5,False,1753826498.327657,Europe/Paris,youtube
breathingExercise,openedApp,Avant de dormir ,1.5,False,1753826586.1338391,Europe/Paris,youtube
breathingExercise,openedApp,Avant de dormir ,1.5,False,1753831999.682359,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1753893855.968035,Europe/Paris,youtube
breathingExercise,openedApp,Poster une vidéo drôle ,1.5,False,1753898628.2234402,Europe/Paris,youtube
breathingExercise,openedApp,Poster une vidéo drôle ,1.5,False,1753898785.9229999,Europe/Paris,youtube
breathingExercise,openedApp,Poster une vidéo drôle ,1.5,False,1753898918.127427,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1753898957.906124,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1753913374.720042,Europe/Paris,youtube
breathingExercise,openedApp,Poster une vidéo drôle ,1.5,False,1753913900.7632189,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1753914347.651187,Europe/Paris,youtube
breathingExercise,openedApp,Poster une vidéo drôle ,1.5,False,1753914357.8902059,Europe/Paris,youtube
breathingExercise,openedApp,Me politiser,1.5,False,1753916016.70505,Europe/Paris,youtube
breathingExercise,openedApp,Me politiser,1.5,False,1753916306.5180721,Europe/Paris,youtube
breathingExercise,openedApp,Me politiser,1.5,False,1753917716.765514,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1753917951.331711,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1753918004.578716,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1753918134.5894,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1753918199.023155,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1753918943.2862349,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1753921080.842036,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1753943710.650598,Europe/Paris,youtube
breathingExercise,openedApp,Éviter / Fuir,1.5,False,1753943887.9482799,Europe/Paris,youtube
breathingExercise,openedApp,Me politiser,1.5,False,1753943989.135227,Europe/Paris,youtube
breathingExercise,openedApp,Me politiser,1.5,False,1753944048.139175,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1753944512.5601869,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1753944604.258706,Europe/Paris,youtube
breathingExercise,openedApp,Me marrer ,1.5,False,1753944854.279604,Europe/Paris,youtube
breathingExercise,openedApp,Me marrer ,1.5,False,1753945952.731499,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1753950255.5381021,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1753951953.5689301,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1753952683.390146,Europe/Paris,youtube
breathingExercise,openedApp,Me marrer ,1.5,False,1753954430.466013,Europe/Paris,youtube
breathingExercise,openedApp,Épier son coup de cœur,1.5,False,1753962614.891108,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1753978251.535483,Europe/Paris,youtube
breathingExercise,openedApp,Éviter / Fuir,1.5,False,1753978999.911367,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1753992022.852649,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1753993360.593701,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1753995612.371667,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1754026218.9016519,Europe/Paris,youtube
breathingExercise,openedApp,Me marrer ,1.5,False,1754070944.016477,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1754072515.502337,Europe/Paris,youtube
breathingExercise,openedApp,Me marrer ,1.5,False,1754072905.7365022,Europe/Paris,youtube
breathingExercise,openedApp,Politique,1.5,False,1754073040.166761,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1754073188.154135,Europe/Paris,youtube
breathingExercise,openedApp,Politique,1.5,False,1754073225.560224,Europe/Paris,youtube
breathingExercise,openedApp,Politique,1.5,False,1754073260.8889542,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1754074822.997772,Europe/Paris,youtube
breathingExercise,openedApp,Poster une vidéo drôle ,1.5,False,1754076935.980692,Europe/Paris,youtube
breathingExercise,openedApp,Me politiser,1.5,False,1754107452.87008,Europe/Paris,youtube
breathingExercise,openedApp,Politique,1.5,False,1754109549.485859,Europe/Paris,youtube
breathingExercise,openedApp,Promener Emma ,1.5,False,1754126080.725049,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754139263.1505241,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754142576.9975471,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1754143851.928333,Europe/Paris,youtube
breathingExercise,openedApp,Politique,1.5,False,1754144631.0804172,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1754144802.855252,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754144837.7971191,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754145067.487063,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754145521.2397962,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754146221.807704,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754146321.256491,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1754146823.545912,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1754147082.437828,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1754147090.325169,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1754147181.955102,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754147306.7077389,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754148052.3571,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754148447.197669,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1754148873.89296,Europe/Paris,youtube
breathingExercise,openedApp,Politique,1.5,False,1754148881.474005,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1754149354.934039,Europe/Paris,youtube
breathingExercise,openedApp,Politique,1.5,False,1754150560.377574,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754150931.606442,Europe/Paris,youtube
breathingExercise,openedApp,Divertissement,1.5,False,1754151101.745768,Europe/Paris,youtube
breathingExercise,openedApp,Scam,1.5,False,1754151313.422874,Europe/Paris,youtube
breathingExercise,openedApp,Politique,1.5,False,1754158138.2881541,Europe/Paris,youtube
breathingExercise,openedApp,Se détendre,1.5,False,1754168389.51971,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1754168445.230445,Europe/Paris,youtube
breathingExercise,openedApp,Politique,1.5,False,1754169022.728528,Europe/Paris,youtube
breathingExercise,openedApp,Politique,1.5,False,1754201469.4387589,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1754202681.6927872,Europe/Paris,youtube
breathingExercise,openedApp,Politique,1.5,False,1754202889.983533,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754209662.139725,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754211919.492326,Europe/Paris,youtube
breathingExercise,openedApp,Politique,1.5,False,1754211954.59004,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754214160.6378632,Europe/Paris,youtube
breathingExercise,dismissedAppOpening,,1.5,False,1754214176.100339,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754239338.584307,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754239685.408224,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754239729.226534,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754239872.0208511,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754239930.437743,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754239971.2729158,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754240039.189724,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754240103.308923,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754240134.228994,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754240165.1055841,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754240227.138932,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754240257.404624,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754240310.445611,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754240333.025247,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754240362.424026,Europe/Paris,youtube
breathingExercise,openedApp,Finances ,1.5,False,1754245514.1006489,Europe/Paris,youtube
