timestamp,interventionDuration,interventionType,timezone,resolution,timeIntervalUntilReIntervention,app,isReIntervention,purpose
1751826656.706071,1.5,askForTimeLimit,Europe/Helsinki,openedApp,1020.0,tikTok,False,
1751892084.2051501,1.5,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1751908629.982821,1.5,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1751910498.929672,1.5,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1751964645.441927,1.5,askForTimeLimit,Europe/Helsinki,openedApp,480.0,tikTok,False,
1751965159.8137841,1.5,breathingExercise,Europe/Helsinki,openedApp,900.0,tikTok,True,Search Info
1751965400.95007,1.5,askForTimeLimit,Europe/Helsinki,openedApp,840.0,tikTok,False,
1751981870.92412,1.5,askForTimeLimit,Europe/Helsinki,openedApp,420.0,tikTok,False,
1751999017.6456509,1.5,askForTimeLimit,Europe/Helsinki,openedApp,780.0,tikTok,False,
1751999372.778445,1.5,askForTimeLimit,Europe/Helsinki,openedApp,480.0,tikTok,False,
1752064566.289048,1.5,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1752065185.0134292,1.5,breathingExercise,Europe/Helsinki,openedApp,480.0,tikTok,True,Search Info
1752131102.881048,1.5,askForTimeLimit,Europe/Helsinki,openedApp,1200.0,tikTok,False,
1752137599.9675798,1.5,askForTimeLimit,Europe/Helsinki,openedApp,300.0,tikTok,False,
1752147104.337473,1.5,askForTimeLimit,Europe/Helsinki,openedApp,300.0,tikTok,False,
1752147429.751882,1.5,breathingExercise,Europe/Helsinki,dismissedAppOpening,,tikTok,False,
1752159521.462885,1.5,askForTimeLimit,Europe/Helsinki,openedApp,300.0,tikTok,False,
1752168672.8313909,1.5,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1752216805.636283,1.5,askForTimeLimit,Europe/Helsinki,openedApp,1680.0,tikTok,False,
1752396276.045384,1.5,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1752408738.749494,1.5,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1752422492.489447,1.5,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1752422879.997611,1.5,askForTimeLimit,Europe/Helsinki,openedApp,600.0,tikTok,False,
1752476845.506487,1.5,askForTimeLimit,Europe/Helsinki,openedApp,1320.0,tikTok,False,
1752477280.869081,1.5,askForTimeLimit,Europe/Helsinki,dismissedAppOpening,,tikTok,False,
1752477289.9483628,1.5,askForTimeLimit,Europe/Helsinki,openedApp,840.0,tikTok,False,
1752496019.415969,1.5,askForTimeLimit,Europe/Helsinki,openedApp,1200.0,tikTok,False,
1752562910.700624,1.5,askForTimeLimit,Europe/Helsinki,openedApp,1680.0,tikTok,False,
1752563186.5382152,1.5,askForTimeLimit,Europe/Helsinki,dismissedAppOpening,,tikTok,False,
1752563203.429858,1.5,askForTimeLimit,Europe/Helsinki,openedApp,1380.0,tikTok,False,
1752564145.70569,1.5,askForTimeLimit,Europe/Helsinki,openedApp,420.0,tikTok,False,
1752564282.881563,1.5,askForTimeLimit,Europe/Helsinki,openedApp,240.0,tikTok,False,
1752648344.17206,1.5,askForTimeLimit,Europe/Helsinki,openedApp,1740.0,tikTok,False,
1752736901.8744469,1.5,askForTimeLimit,Europe/Helsinki,openedApp,420.0,tikTok,False,
1752752091.0022101,1.5,askForTimeLimit,Europe/Helsinki,openedApp,900.0,tikTok,False,
1752752387.3174272,1.5,askForTimeLimit,Europe/Helsinki,openedApp,1140.0,tikTok,False,
1752753105.2874188,1.5,askForTimeLimit,Europe/Helsinki,openedApp,480.0,tikTok,False,
1752819019.1894999,1.5,askForTimeLimit,Europe/Helsinki,openedApp,1200.0,tikTok,False,
1752875360.229972,1.5,askForTimeLimit,Europe/Helsinki,openedApp,900.0,tikTok,False,
1752876332.991509,1.5,breathingExercise,Europe/Helsinki,openedApp,1800.0,tikTok,True,Tylsistynyt
1752878922.213938,1.5,askForTimeLimit,Europe/Helsinki,openedApp,900.0,tikTok,False,
1752879402.8411422,1.5,askForTimeLimit,Europe/Helsinki,openedApp,900.0,tikTok,False,
1752880377.02778,1.5,askForTimeLimit,Europe/Helsinki,openedApp,660.0,tikTok,False,
1752965071.4931679,1.5,askForTimeLimit,Europe/Helsinki,openedApp,1200.0,tikTok,False,
1752966143.713943,1.5,askForTimeLimit,Europe/Helsinki,openedApp,900.0,tikTok,False,
1753008071.8947802,1.5,askForTimeLimit,Europe/Helsinki,openedApp,2400.0,tikTok,False,
