app,isReIntervention,purpose,timestamp,timezone,resolution,interventionType,interventionDuration,timeIntervalUntilReIntervention
instagram,False,Search Info,1751261880.762799,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,,1751261918.548918,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,,1751261924.000115,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,,1751261932.678525,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Message,1751262111.334378,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751262128.175941,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751262164.268744,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751262170.5769172,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751262172.500155,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751262177.490478,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
instagram,False,Message,1751262304.415128,Asia/Kolkata,openedApp,breathingExercise,1.5,
google,False,,1751262306.909206,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751262363.5212312,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,Search Info,1751262403.992286,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,,1751262540.231921,Asia/Kolkata,openedApp,askForTimeLimit,1.5,60.0
google,False,Message,1751262548.1137109,Asia/Kolkata,openedApp,breathingExercise,1.5,
instagram,False,,1751262553.975802,Asia/Kolkata,openedApp,askForTimeLimit,1.5,60.0
instagram,False,,1751262632.120208,Asia/Kolkata,dismissedAppOpening,breathingExercise,1.5,
google,False,,1751262881.42576,Asia/Kolkata,openedApp,askForTimeLimit,1.5,360.0
google,False,,1751263190.418467,Asia/Kolkata,openedApp,askForTimeLimit,1.5,60.0
google,False,,1751266284.41686,Asia/Kolkata,openedApp,askForTimeLimit,1.5,660.0
google,False,,1751266957.729526,Asia/Kolkata,dismissedAppOpening,askForTimeLimit,1.5,
google,False,,1751266962.5620852,Asia/Kolkata,openedApp,askForTimeLimit,1.5,840.0
instagram,False,,1751266970.294013,Asia/Kolkata,openedApp,askForTimeLimit,1.5,60.0
