resolution,interventionDuration,interventionType,isReIntervention,timeIntervalUntilReIntervention,timestamp,app,timezone,terminationReason
openedApp,1.5,breathingExercise,0.0,60.0,1752424699.140757,instagram,Europe/Berlin,
closedApp,,,0.0,,1752424742.1112242,instagram,Europe/Berlin,
openedApp,1.5,breathingExercise,0.0,60.0,1752425366.210937,instagram,Europe/Berlin,
closedApp,,,0.0,,1752425388.525588,instagram,Europe/Berlin,
dismissedAppOpening,1.5,breathingExercise,0.0,,1752426705.560574,instagram,Europe/Berlin,
openedApp,1.5,breathingExercise,0.0,600.0,1752428464.912637,instagram,Europe/Berlin,
closedApp,,,0.0,,1752428777.817415,instagram,Europe/Berlin,
dismissedAppOpening,1.5,breathingExercise,0.0,,1752428893.088038,discord,Europe/Berlin,
dismissedAppOpening,40.0,breathingExercise,0.0,,1752428914.8786302,shortcuts,Europe/Berlin,
dismissedAppOpening,1.5,breathingExercise,0.0,,1752429048.054099,discord,Europe/Berlin,
dismissedAppOpening,1.5,breathingExercise,0.0,,1752429135.7594218,discord,Europe/Berlin,
,,,,,1752429150.7341928,,,terminatedByUser
