app,timestamp,timezone,isReIntervention,resolution,interventionDuration,interventionType
instagram,1749773797.207757,America/Toronto,False,openedApp,,
instagram,1749773917.207757,America/Toronto,False,closedApp,,
instagram,1749773917.207757,America/Toronto,False,dismissedAppOpening,,
instagram,1749774769.7875838,America/Toronto,False,openedApp,,
instagram,1749774889.787585,America/Toronto,False,closedApp,,
instagram,1749774889.787585,America/Toronto,False,dismissedAppOpening,,
instagram,1749775320.754603,America/Toronto,False,openedApp,,
instagram,1749775440.7546039,America/Toronto,False,closedApp,,
instagram,1749775440.7546039,America/Toronto,False,dismissedAppOpening,,
instagram,1749823969.991523,America/Toronto,False,openedApp,,
instagram,1749824089.991523,America/Toronto,False,closedApp,,
instagram,1749824089.991523,America/Toronto,False,dismissedAppOpening,,
facebook,1749825505.617763,America/Toronto,False,openedApp,1.5,breathingExercise
facebook,1749825499.601256,Europe/London,False,openedApp,,
facebook,1749825559.601256,Europe/London,False,closedApp,,
facebook,1749825559.601256,Europe/London,False,dismissedAppOpening,,
facebook,1749833141.601877,Europe/London,False,openedApp,,
facebook,1749833201.601877,Europe/London,False,closedApp,,
facebook,1749833201.601877,Europe/London,False,dismissedAppOpening,,
facebook,1749835307.754026,Europe/London,False,openedApp,,
facebook,1749835367.754026,Europe/London,False,closedApp,,
facebook,1749835367.754026,Europe/London,False,dismissedAppOpening,,
facebook,1749837882.732068,Europe/London,False,openedApp,,
facebook,1749837942.732069,Europe/London,False,closedApp,,
facebook,1749837942.732069,Europe/London,False,dismissedAppOpening,,
facebook,1749929111.932936,Europe/London,False,openedApp,,
facebook,1749929171.9329371,Europe/London,False,closedApp,,
facebook,1749929171.9329371,Europe/London,False,dismissedAppOpening,,
facebook,1749961158.373359,Europe/London,False,openedApp,,
facebook,1749961218.373359,Europe/London,False,closedApp,,
facebook,1749961218.373359,Europe/London,False,dismissedAppOpening,,
facebook,1750161893.0297952,Europe/London,False,openedApp,,
facebook,1750161953.0297952,Europe/London,False,closedApp,,
facebook,1750161953.0297952,Europe/London,False,dismissedAppOpening,,
facebook,1750198187.255457,Europe/London,False,openedApp,,
facebook,1750198247.255457,Europe/London,False,closedApp,,
facebook,1750198247.255457,Europe/London,False,dismissedAppOpening,,
facebook,1750234667.375016,Europe/London,False,openedApp,,
