interventionDuration,resolution,timezone,purpose,timestamp,app,interventionType,isReIntervention
1.5,openedApp,Europe/Rome,Message,1753031283.4057589,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753031344.79421,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Break,1753038656.595463,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753095973.9690928,whastapp,breathingExercise,False
,openedApp,Europe/Rome,,1753113673.914238,whastapp,,False
,closedApp,Europe/Rome,,1753113733.914238,whastapp,,False
,dismissedAppOpening,Europe/Rome,,1753113733.914238,whastapp,,False
1.5,openedApp,Europe/Rome,Message,1753113745.413836,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753113817.750688,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753115172.346693,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753115242.2863379,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753119549.5705938,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753119783.608725,youtube,breathingExercise,False
1.5,openedApp,Europe/Rome,Bored,1753121009.451258,youtube,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753130254.5878181,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Bored,1753141510.886767,youtube,breathingExercise,False
1.5,dismissedAppOpening,Europe/Rome,,1753142472.8386521,youtube,breathingExercise,False
1.5,openedApp,Europe/Rome,Relax,1753142487.8346329,youtube,breathingExercise,False
1.5,openedApp,Europe/Rome,Relax,1753143349.617449,youtube,breathingExercise,False
,openedApp,Europe/Rome,,1753141418.860558,youtube,,False
,closedApp,Europe/Rome,,1753141478.860558,youtube,,False
,dismissedAppOpening,Europe/Rome,,1753141478.860558,youtube,,False
1.5,openedApp,Europe/Rome,Message,1753175457.789108,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753198926.86995,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753199501.913867,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753201594.9321098,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753201670.758255,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753203113.790704,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753203187.631921,whastapp,breathingExercise,False
1.5,openedApp,Europe/Rome,Message,1753203344.6729279,whastapp,breathingExercise,False
