isReIntervention,interventionDuration,app,interventionType,timestamp,resolution,timezone
False,1.5,instagram,breathingExercise,1751220879.276835,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751221619.853938,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751256943.430491,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751257272.82406,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751262684.648765,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751262831.55015,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751270912.516494,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751271716.852808,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751283161.357185,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751288225.776284,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751289532.180385,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751291029.825194,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751304253.966382,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751309209.387189,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751341726.700438,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751346942.274396,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751347028.421183,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751355497.1497731,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751359311.870775,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751360667.733726,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751363555.480575,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751368223.98367,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751377651.031277,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751377834.083943,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751381095.4664211,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751381214.1997519,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751386543.464184,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751386673.059694,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751387052.25757,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751387229.0218081,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751387846.8160172,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751387857.679337,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751387866.8779712,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751422185.233782,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751422618.6831288,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751438295.1019058,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751439205.190021,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751443031.9287848,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751445471.392229,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751445698.7926369,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751446190.931859,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751452207.327174,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751452215.7750459,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751452235.430263,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751465476.7688708,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751467945.4958038,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751468105.859657,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751468114.852186,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751468962.46194,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751470319.244194,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751470930.980904,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751473191.654629,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751473267.744447,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751473895.402415,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751476305.788354,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751476592.659894,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751478191.987269,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751478264.3802009,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751478928.491617,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751508611.8007932,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751509830.2250519,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751512434.857755,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751512582.669698,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751512585.799511,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751514596.419879,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751514895.7652578,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751516132.6560168,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751516289.381108,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751517438.262254,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751522449.1772351,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751523315.5381021,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751526109.034525,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751526738.9147239,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751527489.498472,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751528072.196151,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751532464.058062,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751536684.27677,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751536805.256688,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751539365.1396642,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751551729.975666,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751552154.325134,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751553721.027849,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751553877.573667,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751554133.0945392,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751554647.1888618,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751555023.0605922,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751619022.261261,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751619079.774364,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751619174.974829,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751619584.814409,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751620284.2770329,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751620870.124254,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751620934.142385,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751621144.145505,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751622678.243396,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751623250.867159,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751623340.648244,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751623460.578487,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751627810.5760689,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751629544.185766,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751629557.2152882,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751630352.982294,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751631109.843069,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751631288.962105,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751631321.532265,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751631988.050462,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751632049.371324,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751632313.781805,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751632375.353273,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751632498.492506,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751632961.1943989,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751633057.6196241,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751633086.568235,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751633206.396572,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751633432.138444,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751633752.850146,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751634026.616641,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751634373.096199,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751635322.878608,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751635459.479319,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751635482.4148788,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751635610.5242481,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751635925.998941,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751636179.436964,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751636592.592346,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751636758.661973,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751636867.444315,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751638581.8803148,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751638854.875274,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751640863.095006,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751640890.5242748,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751641078.2077289,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751641927.994279,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751642364.727765,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751643718.555332,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751645398.7538571,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751645712.861137,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751646797.2669148,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751647181.153369,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751647201.156456,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751649551.3260121,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751650008.879699,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751658372.507088,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751659686.004761,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751660482.789651,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751683458.699378,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751686513.6897779,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751686527.863754,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751688763.520827,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751689319.868507,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751689876.356147,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751691165.513039,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751692425.223944,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751692597.9344559,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751694539.991859,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751705286.132893,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751705707.9044209,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751715082.3363461,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751718646.2327352,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751718807.61627,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751718845.3739629,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751718924.966744,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751719066.905499,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751719277.057823,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751719368.535785,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751719442.502668,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751719618.6613731,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751719687.386458,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751719991.996729,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751721737.426422,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751722071.990065,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751722597.612021,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751722650.981142,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751722728.885144,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751725014.723075,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751725099.543442,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751725572.81851,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751727253.435227,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751728025.346,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751728044.8697681,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751728457.632118,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751728573.9741669,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751728884.1118212,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751729240.429729,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751729433.182201,openedApp,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751732805.0103889,dismissedAppOpening,Asia/Kolkata
False,1.5,instagram,breathingExercise,1751773453.779862,openedApp,Asia/Kolkata
