interventionType,timezone,timestamp,app,resolution,isReIntervention,interventionDuration,purpose
breathingExercise,Europe/Berlin,1750252584.013989,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Berlin,1750253530.36795,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750278980.9131122,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Berlin,1750279156.7636352,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Berlin,1750282483.4649749,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Amsterdam,1750337713.725615,instagram,openedApp,False,1.5,Relax
breathingExercise,Europe/Amsterdam,1750348344.3622022,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750356035.14158,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Amsterdam,1750360299.931415,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Amsterdam,1750368689.4810128,instagram,openedApp,False,1.5,Can’t sleep
breathingExercise,Europe/Amsterdam,1750369207.872087,instagram,openedApp,False,1.5,Can’t sleep
breathingExercise,Europe/Amsterdam,1750370315.891426,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750372059.5295339,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750400406.381429,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Amsterdam,1750420907.03122,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750420988.416784,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Amsterdam,1750421214.6227021,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Amsterdam,1750432120.6224241,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Amsterdam,1750432206.568713,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Amsterdam,1750433945.670559,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750443908.112685,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Amsterdam,1750447367.6633391,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750453520.617451,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750454090.361785,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Amsterdam,1750457529.875351,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750457621.185601,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Amsterdam,1750457696.134712,instagram,openedApp,False,1.5,Post something
breathingExercise,Europe/Amsterdam,1750459147.350616,instagram,openedApp,False,1.5,Can’t sleep
breathingExercise,Europe/Amsterdam,1750459505.274163,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750459776.8884091,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750493215.371554,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750493274.243534,instagram,openedApp,False,1.5,Bored
breathingExercise,Europe/Amsterdam,1750504479.2386122,instagram,openedApp,False,1.5,Bored
breathingExercise,Europe/Amsterdam,1750532446.775456,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750532457.475743,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Amsterdam,1750532569.140948,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Amsterdam,1750536169.021838,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750548064.978174,instagram,openedApp,False,1.5,Can’t sleep
breathingExercise,Europe/Amsterdam,1750549105.502454,instagram,openedApp,False,1.5,Post something
breathingExercise,Europe/Amsterdam,1750549419.658575,instagram,openedApp,False,1.5,Post something
breathingExercise,Europe/Amsterdam,1750549704.6618218,instagram,openedApp,False,1.5,Post something
breathingExercise,Europe/Amsterdam,1750549988.6044931,instagram,openedApp,False,1.5,Post something
breathingExercise,Europe/Amsterdam,1750550341.463148,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750550344.081732,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750550457.712784,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Amsterdam,1750550723.957488,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Amsterdam,1750583326.997199,instagram,openedApp,False,1.5,Post something
breathingExercise,Europe/Amsterdam,1750596347.750993,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Amsterdam,1750601489.6149411,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750613363.264699,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750625850.515149,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750632246.786134,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750673738.137646,instagram,openedApp,False,1.5,Can’t sleep
breathingExercise,Europe/Berlin,1750675970.034432,instagram,openedApp,False,1.5,Can’t sleep
breathingExercise,Europe/Berlin,1750683619.809741,instagram,openedApp,False,1.5,Post something
breathingExercise,Europe/Berlin,1750694049.750134,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750694296.967309,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750698384.8950992,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750701757.008764,instagram,openedApp,False,1.5,Bored
breathingExercise,Europe/Berlin,1750702995.555177,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750703417.593245,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750704199.280905,instagram,openedApp,False,1.5,Can’t sleep
breathingExercise,Europe/Berlin,1750704707.1492538,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750707987.71175,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750708014.885395,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750709363.83256,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750712998.588784,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750747622.6177359,instagram,openedApp,False,1.5,Message
breathingExercise,Europe/Berlin,1750751146.837563,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750774035.9110708,instagram,openedApp,False,1.5,Toilet
breathingExercise,Europe/Berlin,1750774424.70651,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750793193.8707771,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750793219.9741921,instagram,openedApp,False,1.5,Message
breathingExercise,Europe/Berlin,1750794378.9901109,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750794390.733261,instagram,openedApp,False,1.5,Message
breathingExercise,Europe/Berlin,1750836053.000922,instagram,openedApp,False,1.5,Message
breathingExercise,Europe/Berlin,1750843542.525893,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Berlin,1750846387.367076,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Berlin,1750847020.554768,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750847284.281849,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750847709.9549708,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750849143.9540958,instagram,openedApp,False,1.5,Message
breathingExercise,Europe/Berlin,1750853518.509036,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750857067.742029,instagram,openedApp,False,1.5,Message
breathingExercise,Europe/Berlin,1750857315.873001,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750863797.609034,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750865163.966938,instagram,openedApp,False,1.5,Message
breathingExercise,Europe/Berlin,1750865966.669558,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750924909.504019,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750936514.244399,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750936883.095375,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750943448.124298,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750950251.535562,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750950295.997433,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1750955587.649778,instagram,openedApp,False,1.5,Message
breathingExercise,Europe/Berlin,1750956465.371983,instagram,openedApp,False,1.5,Message
breathingExercise,Europe/Berlin,1750960892.415615,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1750966669.891567,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1751007318.1825562,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1751007660.495125,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1751008307.7626848,instagram,openedApp,False,1.5,Stay In the Loop
breathingExercise,Europe/Berlin,1751011015.30985,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Berlin,1751012605.91334,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1751012609.6808891,instagram,dismissedAppOpening,False,1.5,
breathingExercise,Europe/Berlin,1751012657.543116,instagram,openedApp,False,1.5,Search Info
breathingExercise,Europe/Berlin,1751028815.410417,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751028835.602701,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751030033.909144,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751030691.358252,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751044455.721756,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751052036.774956,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751059293.142747,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751099317.2665591,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751137284.182749,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751137962.712717,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751138039.785633,instagram,openedApp,False,3.0,Stay In the Loop
breathingExercise,Europe/Berlin,1751141809.6977391,instagram,openedApp,False,3.0,Search Info
breathingExercise,Europe/Berlin,1751145236.690203,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751179707.463692,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751181172.8402529,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751181195.803927,instagram,openedApp,False,3.0,Stay In the Loop
breathingExercise,Europe/Berlin,1751181985.1213531,instagram,openedApp,False,3.0,Search Info
breathingExercise,Europe/Berlin,1751207538.868167,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751210933.885462,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751228632.8761501,instagram,openedApp,False,3.0,Post something
breathingExercise,Europe/Berlin,1751231811.504442,instagram,openedApp,False,3.0,Stay In the Loop
breathingExercise,Europe/Berlin,1751233256.2394562,instagram,openedApp,False,3.0,Search Info
breathingExercise,Europe/Berlin,1751234936.890779,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751269930.4385362,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751285873.1488008,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751294881.318431,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751294925.1288419,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751297564.91371,instagram,openedApp,False,3.0,Stay In the Loop
breathingExercise,Europe/Berlin,1751298019.796853,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751298913.0782042,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751299868.0838718,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751314496.221964,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751317193.876103,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751318250.988668,instagram,openedApp,False,3.0,Stay In the Loop
breathingExercise,Europe/Berlin,1751318662.573036,instagram,openedApp,False,3.0,Search Info
breathingExercise,Europe/Berlin,1751319864.9653358,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751350267.328397,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751357219.065538,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751369131.013245,instagram,openedApp,False,3.0,Search Info
breathingExercise,Europe/Berlin,1751374318.012251,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751379027.3016748,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751384397.57025,instagram,openedApp,False,3.0,Message
breathingExercise,Europe/Berlin,1751408734.583663,instagram,openedApp,False,3.0,Stay In the Loop
breathingExercise,Europe/Berlin,1751409414.0308208,instagram,openedApp,False,3.0,Stay In the Loop
breathingExercise,Europe/Berlin,1751450998.4900808,instagram,openedApp,False,3.0,Stay In the Loop
breathingExercise,Europe/Berlin,1751451368.562433,instagram,openedApp,False,3.0,Message
,Europe/Berlin,1751451877.4773521,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751452075.2667499,instagram,dismissedAppOpening,False,3.0,
breathingExercise,Europe/Berlin,1751452084.25526,instagram,openedApp,False,3.0,Message
,Europe/Berlin,1751453150.213729,instagram,closedApp,False,,
,Europe/Berlin,1751453640.80128,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751468391.154944,instagram,openedApp,False,3.0,Stay In the Loop
,Europe/Berlin,1751468734.272345,instagram,closedApp,False,,
,Europe/Berlin,1751469992.2581,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751478627.843929,instagram,openedApp,False,3.0,Stay In the Loop
,Europe/Berlin,1751478695.58886,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751483441.595142,instagram,openedApp,False,3.0,Message
,Europe/Berlin,1751483597.252287,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751492973.528913,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751501540.938068,instagram,closedApp,False,,
,Europe/Berlin,1751501752.302836,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751529814.948948,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751529951.796335,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751534866.09636,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751534995.286954,instagram,closedApp,False,,
,Europe/Berlin,1751535101.24002,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751550903.496187,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751551025.5772882,instagram,closedApp,False,,
breathingExercise,Europe/Berlin,1751572150.363132,instagram,openedApp,False,3.0,Search Info
,Europe/Berlin,1751572511.904941,instagram,closedApp,False,,
,Europe/Berlin,1751575381.5206208,instagram,closedApp,False,,
,Europe/Berlin,1751575771.865932,instagram,closedApp,False,,
,Europe/Berlin,1751576122.441945,instagram,closedApp,False,,
