timestamp,resolution,interventionDuration,isReIntervention,timezone,app,interventionType,timeIntervalUntilReIntervention
1752837068.42983,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,
1752838904.7468472,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,
1752839592.650732,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1752868817.5744638,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,
1752880153.449435,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1752934384.288144,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1752934398.827355,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1752934864.890965,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1752937856.941601,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,600.0
1752938396.3330898,closedApp,,False,America/New_York,tikTok,,
1752971862.479515,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1752972060.42503,closedApp,,False,America/New_York,tikTok,,
1753035364.096559,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753035950.412966,closedApp,,False,America/New_York,tikTok,,
1753036606.9848928,closedApp,,False,America/New_York,tikTok,,
1753037144.980195,closedApp,,False,America/New_York,tikTok,,
1753037369.8058481,closedApp,,False,America/New_York,tikTok,,
1753037379.816976,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753037756.6896691,closedApp,,False,America/New_York,tikTok,,
1753064021.095849,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753064035.537215,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753064061.52918,closedApp,,False,America/New_York,tikTok,,
1753064996.90176,closedApp,,False,America/New_York,tikTok,,
1753067330.619142,closedApp,,False,America/New_York,tikTok,,
1753067338.096457,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753111160.390991,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753111164.04813,closedApp,,False,America/New_York,tikTok,,
1753111553.055385,closedApp,,False,America/New_York,tikTok,,
1753111573.861916,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753111624.531981,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753112924.72761,closedApp,,False,America/New_York,tikTok,,
1753113381.7909641,closedApp,,False,America/New_York,tikTok,,
1753114387.025673,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753114708.9076052,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753114773.7976851,closedApp,,False,America/New_York,tikTok,,
1753115235.032407,closedApp,,False,America/New_York,tikTok,,
1753115375.835384,closedApp,,False,America/New_York,tikTok,,
1753116507.479395,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753120011.656486,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753120023.79743,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753144355.555884,closedApp,,False,America/New_York,tikTok,,
1753144785.466315,closedApp,,False,America/New_York,tikTok,,
1753144852.127575,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753144879.845526,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753146321.638989,closedApp,,False,America/New_York,tikTok,,
1753146698.531661,closedApp,,False,America/New_York,tikTok,,
1753146705.980973,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753182433.784673,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753147969.763825,closedApp,,False,America/New_York,tikTok,,
1753184165.25408,closedApp,,False,America/New_York,tikTok,,
1753187058.78858,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753187125.976341,closedApp,,False,America/New_York,tikTok,,
1753188304.916404,closedApp,,False,America/New_York,tikTok,,
1753188409.071965,closedApp,,False,America/New_York,tikTok,,
1753188932.308424,closedApp,,False,America/New_York,tikTok,,
1753188944.6988301,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753189046.195899,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
1753190739.4534512,closedApp,,False,America/New_York,tikTok,,
1753190764.213746,closedApp,,False,America/New_York,tikTok,,
1753190774.368653,dismissedAppOpening,1.5,False,America/New_York,tikTok,breathingExercise,
1753212653.5027242,openedApp,1.5,False,America/New_York,tikTok,breathingExercise,1800.0
