resolution,isReIntervention,interventionDuration,interventionType,timezone,app,timestamp
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752732840.690452
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752733360.0323749
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752740785.96472
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752743012.809176
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752743923.137251
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752744072.058502
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752747452.950975
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752747595.4706821
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752747681.4468
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752747849.7775521
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752748039.2540178
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752748218.637805
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752748482.7987518
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752749101.296627
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752749901.88268
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752752037.548949
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752752813.9735022
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752755342.6315598
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752755418.486598
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752755856.957082
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752756462.1997042
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752757781.628864
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752757823.5172138
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752759978.431171
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752760831.4329228
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752761002.144696
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752762261.493418
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752765616.7443252
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752767104.3157039
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752767166.64381
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752767174.04522
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752767356.633549
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752767485.9205
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752767969.372863
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752768082.9091911
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752768125.283642
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752768284.027049
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752768553.838076
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752768597.0958571
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752768815.334759
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752768849.853325
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752769435.357357
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752769502.724067
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752769589.494703
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752769899.574496
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752770079.774297
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752771013.255237
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752771015.012315
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752771199.060514
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752772374.014061
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752811636.6711001
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752814752.040814
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752816150.999144
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752816255.9269118
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752816806.915609
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752816944.187432
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752819069.292396
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752819126.460839
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752820201.29631
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752820385.392587
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752821977.598536
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752822219.7588491
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752822251.603218
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752822448.896565
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752822452.7236829
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752822978.255395
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752823213.7220821
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752823365.571549
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752824244.976085
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752826050.983629
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752826218.896471
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752826221.7319288
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752828144.266772
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752832650.980336
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752834020.956552
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752834080.830305
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752834097.843781
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752836747.084018
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752836824.394397
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752837032.068423
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752837209.318102
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752837263.726896
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752837510.449688
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752837663.909439
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752837712.355541
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752837739.2589579
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752837798.6321368
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752837953.077326
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752838079.172243
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752838123.819752
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752838983.6145859
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752839035.806346
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752839092.419812
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752839378.249874
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752841704.284178
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752841729.9472609
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752842501.745573
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752842706.983477
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752843278.125073
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752843429.3516312
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752844109.237113
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752854653.239692
dismissedAppOpening,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752854655.471854
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752854661.2060509
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752854691.282662
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752855448.250818
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752855636.761369
openedApp,False,1.5,breathingExercise,Asia/Dubai,whastapp,1752855749.0276508
