resolution,timezone,app,interventionDuration,timestamp,isReIntervention,interventionType
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750059214.698944,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750060499.7798839,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750070391.7383819,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750072182.85883,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750085867.2026858,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750086318.887084,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750092840.540734,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750098114.295877,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750099008.745898,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750099133.651367,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750100969.488899,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750101907.092726,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750101921.1341991,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750104208.494779,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750104405.218388,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750106479.1940222,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750108405.321231,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750108515.4665918,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750108794.354512,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750109659.649335,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750109752.51841,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750110493.472548,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750111328.233782,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750141266.549649,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750150054.1501641,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750164262.434252,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750164525.686771,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750164730.5666971,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750166112.64007,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750172078.000667,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750172588.5066671,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750173055.7981539,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750173185.1272578,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750174868.6380239,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750174993.5311918,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750175190.17641,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750175199.54242,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750175905.98931,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750176547.8846998,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750177046.240442,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750177483.254884,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750177753.079104,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750178520.9052339,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750186002.197061,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750186372.571056,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750186411.4018269,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750186533.1402879,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750186651.682719,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750189414.932489,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750189721.7486959,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750192481.591179,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750196566.876093,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750196669.365107,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750196679.8245258,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750197078.5797849,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750197082.068088,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750226779.2093759,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750227480.101993,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750227605.8726969,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750228313.762552,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750228317.8914862,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750228828.751111,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750228953.332786,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750233390.135124,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750235326.683449,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750238497.107675,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750241092.9294949,False,breathingExercise
dismissedAppOpening,Africa/Johannesburg,instagram,1.5,1750241096.037585,False,breathingExercise
openedApp,Africa/Johannesburg,instagram,1.5,1750255153.989234,False,breathingExercise
