timezone,interventionDuration,isReIntervention,app,interventionType,timestamp,resolution
Europe/Berlin,1.5,False,instagram,breathingExercise,1750359577.2345948,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750359585.815769,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750359738.717289,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750362376.4534512,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750364383.145721,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750364551.25109,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750364618.465814,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750364633.3985019,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750364644.589792,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750414739.008832,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750414928.989355,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750418260.7414842,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750419034.0111408,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750421470.623142,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750431330.511736,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750431396.21708,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750434805.641943,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750435050.9463801,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750435144.340736,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750435238.1334472,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750435386.959198,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750435455.664493,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750440701.079941,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750441605.562655,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750447684.679862,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750450259.462465,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750483762.8780441,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750486892.067185,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750486893.634969,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750486895.2495399,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750486897.088629,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750493183.754451,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750496756.259047,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750506260.0394812,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750507709.294495,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750507755.4104671,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750508174.0117512,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750508175.474474,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750512695.041424,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750513522.538939,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750513664.565073,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750513764.326056,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750517167.566558,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750521084.545799,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750521165.830447,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750521441.3355331,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750521906.620273,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750523561.7395248,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750546322.015132,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750546324.800006,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750546331.41763,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750546333.384738,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750546345.664278,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750546701.730721,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750579488.311685,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750581132.162228,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750583260.1827111,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750583263.8699188,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750588808.887031,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750590828.182024,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750590829.898665,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750593578.132286,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750593720.724464,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750596009.1034741,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750602245.386852,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750683156.351026,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750683229.133383,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750683765.832366,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750683804.065013,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750684235.577657,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750709523.4568172,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750710919.4058719,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750749260.7231212,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750776233.708184,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750779000.4560661,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750791660.3660789,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750801067.617354,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750801069.942512,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750839551.5048199,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750839782.267013,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750840224.937138,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750850491.6318212,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750857229.089752,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750861131.557667,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750861133.485238,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750919639.9223762,openedApp
Europe/Berlin,1.5,False,instagram,breathingExercise,1750936308.913189,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750936342.994937,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750936379.866885,dismissedAppOpening
Europe/Berlin,1.5,False,instagram,breathingExercise,1750951698.483227,openedApp
