timestamp,app,timezone,resolution,isReIntervention,interventionType,interventionDuration
1748470043.311933,instagram,America/New_York,openedApp,False,,
1748470163.311933,instagram,America/New_York,closedApp,False,,
1748470163.311933,instagram,America/New_York,dismissedAppOpening,False,,
1748470489.746212,instagram,America/New_York,openedApp,False,breathingExercise,1.5
1748470490.345027,instagram,America/New_York,dismissedAppOpening,False,breathingExercise,1.5
1748470673.567233,instagram,America/New_York,openedApp,False,,
1748470793.567234,instagram,America/New_York,closedApp,False,,
1748470793.567234,instagram,America/New_York,dismissedAppOpening,False,,
1748471369.3846889,instagram,America/New_York,openedApp,False,,
1748471489.3846889,instagram,America/New_York,closedApp,False,,
1748471489.3846889,instagram,America/New_York,dismissedAppOpening,False,,
1748473439.53599,instagram,America/New_York,openedApp,False,,
1748473559.53599,instagram,America/New_York,closedApp,False,,
1748473559.53599,instagram,America/New_York,dismissedAppOpening,False,,
1748473559.956156,instagram,America/New_York,openedApp,False,,
1748473679.956157,instagram,America/New_York,closedApp,False,,
1748473679.956157,instagram,America/New_York,dismissedAppOpening,False,,
1748950853.8896809,amazon,America/New_York,openedApp,False,breathingExercise,1.5
1749019324.983632,amazon,America/New_York,openedApp,False,breathingExercise,1.5
