timestamp,isReIntervention,interventionType,resolution,interventionDuration,app,timezone
1750963492.188074,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1750965975.260274,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1750970653.299028,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1750973920.012464,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1750974355.6974602,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1750974358.85341,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751010611.434857,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751024421.243147,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751024757.877481,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751026759.2799358,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751042448.025358,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751042844.803205,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751043895.832512,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751043978.40381,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751044525.9645538,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751044648.6321,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751044671.058969,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751045996.492135,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751093532.105538,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751093774.884038,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751093781.826324,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751139332.890036,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751140985.5265899,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751141442.645674,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751143579.685713,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751154680.2661471,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751156754.993768,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751158770.629129,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751158781.142984,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751161044.9675488,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751161181.633068,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751161908.388764,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751169927.307059,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751181490.018492,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751222272.524122,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751223144.657806,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751236962.574634,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751260752.01236,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751323886.59237,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751325725.3980188,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751334446.5146341,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751404514.770187,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751405167.6177158,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751405434.316914,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751408361.1503968,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751430127.56172,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751430842.262813,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751430941.075914,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751431000.068428,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751431011.740882,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751431204.7493138,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751431533.129067,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751439707.398583,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751441282.362879,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751442916.260281,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751480424.334198,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751502620.183782,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751511393.326154,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751524575.228903,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751555923.508343,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751556063.479906,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751556417.054212,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751557591.548085,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751558731.85818,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751559175.311496,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751602435.050389,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751610010.0204701,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751610764.1037822,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751652555.671669,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751652590.408912,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751652772.386582,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751653187.420979,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751653479.964006,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751696130.123194,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751726001.295549,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751776378.959166,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751779853.67268,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751779931.990703,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751780343.114675,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751780461.7210279,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751780475.039792,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751784822.860855,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751784988.246423,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751786118.836107,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751817231.4024348,False,breathingExercise,dismissedAppOpening,1.5,tikTok,America/Mexico_City
1751835360.915657,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751904674.6670241,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751905168.5409489,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751988647.877574,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751995028.30483,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1751995350.793569,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1752024817.211378,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
1752025494.4231892,False,breathingExercise,openedApp,1.5,tikTok,America/Mexico_City
