interventionDuration,timestamp,interventionType,timezone,app,resolution,isReIntervention
1.5,1749668512.081084,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749668552.437193,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749669081.567573,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1749671181.46636,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749671201.0667481,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749672145.5404,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1749673000.7542691,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749674805.365979,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749674952.881485,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1749675774.296267,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1749676153.064635,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749703940.0263329,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749711703.668205,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749711742.551213,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749712165.988358,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749712777.609202,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749713184.699517,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1749714465.5232182,breathingExercise,Europe/Berlin,brawlStars,openedApp,False
1.5,1749715419.768635,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749716167.2196488,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749724257.311105,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749724315.4070082,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749725245.0705872,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749725825.726476,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749732488.03836,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749733813.385009,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1749734118.981744,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1749734485.610811,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
