interventionDuration,timestamp,interventionType,timezone,app,resolution,isReIntervention
1.5,1750165283.109896,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750166356.517726,breathingExercise,Europe/Berlin,youtube,dismissedAppOpening,False
1.5,1750167136.276136,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750167196.091378,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1750170769.0704908,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1750172302.030715,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750172332.683897,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750175093.8600411,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750175105.807697,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750175586.310282,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750175601.451013,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750175804.283118,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750180143.437248,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750185336.403023,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750185369.1677442,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750186603.312602,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750186621.8013902,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750188003.5931711,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750194971.110419,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750195004.989166,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750199450.489026,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750200897.003059,breathingExercise,Europe/Berlin,youtube,openedApp,False
1.5,1750212977.280387,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750213007.587781,breathingExercise,Europe/Berlin,instagram,dismissedAppOpening,False
1.5,1750217347.677484,breathingExercise,Europe/Berlin,snapchat,dismissedAppOpening,False
1.5,1750217360.704967,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750217457.048691,breathingExercise,Europe/Berlin,instagram,openedApp,False
1.5,1750226520.239839,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750228002.131425,breathingExercise,Europe/Berlin,snapchat,openedApp,False
1.5,1750228012.8795528,breathingExercise,Europe/Berlin,instagram,openedApp,False
