timezone,timestamp,interventionDuration,interventionType,app,isReIntervention,resolution,purpose
America/New_York,1748989498.60858,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1748991543.762933,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1748992325.8256469,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749006882.265574,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749038477.602964,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749039001.9534001,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749039375.7378879,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749039525.129785,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749039683.5144649,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749041016.199055,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749041694.8699222,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749042248.255914,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749042498.339961,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749043676.767822,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749044180.3292809,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749091661.239358,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749091893.4116101,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749092189.213315,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749096032.641227,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749124058.483072,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749124279.089301,1.5,breathingExercise,instagram,False,openedApp,Message
America/New_York,1749128338.815439,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749135029.8589149,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749135554.714237,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749135663.780898,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749135741.661607,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749145707.1636062,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749146501.5969381,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749149121.873435,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749149133.677594,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749149155.133132,1.5,breathingExercise,facebook,False,dismissedAppOpening,
America/New_York,1749149162.2827358,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749149207.0081,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749151780.115062,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749152798.213461,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749152811.648227,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749152880.034229,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749156429.591887,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749157005.273975,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749157039.302676,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749157691.628581,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749158181.90621,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749159773.465168,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749165702.803873,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749165709.710446,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749165735.102186,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749165740.130276,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749167919.334391,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749168180.4942908,1.5,breathingExercise,facebook,False,openedApp,Stay In the Loop
America/New_York,1749174318.700683,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749174608.428629,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749174613.3672152,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749177932.433405,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749178094.3494592,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749178264.4766579,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749183396.259711,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749208640.2225718,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749210642.37324,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749210775.150629,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749211942.51613,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749214132.969589,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749214583.898422,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749221096.98089,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749221103.988745,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749224142.524672,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749224387.539861,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749224853.7452722,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749224884.03828,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749225041.041112,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749225239.324184,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749225932.431851,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749229144.003012,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749231585.030405,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749231678.784858,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749231884.44388,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749233301.637761,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749233618.6555471,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749234420.499831,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749235245.5086288,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749235272.5295649,1.5,breathingExercise,facebook,False,openedApp,Stay In the Loop
America/New_York,1749237135.361584,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749237172.094384,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749237463.7017732,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749237535.1158261,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749237706.515939,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749238447.06974,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749239632.632797,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749239799.691313,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749239823.814295,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749241228.255131,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749241419.972981,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749243931.9665651,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749244969.423312,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749246482.656575,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749247089.2924771,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749247208.942826,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749247273.29598,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749249771.980174,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749249800.300101,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749250305.052954,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749252671.7544708,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749254162.235938,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749254478.610594,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749256455.579045,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749257696.286174,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749258058.45259,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749258221.49066,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749258923.13452,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749259510.543068,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749260364.814806,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749260407.652951,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749297854.874707,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749299913.709385,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749302882.948738,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749304165.950163,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749304289.788275,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749304669.096767,1.5,breathingExercise,facebook,False,openedApp,Stay In the Loop
America/New_York,1749306264.124161,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749306355.31255,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749306473.822888,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749306485.195077,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749306489.2809138,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749306496.2185102,1.5,breathingExercise,instagram,False,openedApp,Stay In the Loop
America/New_York,1749307108.5803962,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749307261.962679,1.5,breathingExercise,instagram,False,dismissedAppOpening,
America/New_York,1749310163.6295729,1.5,breathingExercise,instagram,False,dismissedAppOpening,
