timezone,resolution,app,timestamp,interventionDuration,isReIntervention,interventionType
Asia/Tokyo,openedApp,youtube,1751854838.16789,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751854885.973126,,False,
Asia/Tokyo,dismissedAppOpening,youtube,1751864130.392393,1.5,False,breathingExercise
Asia/Tokyo,openedApp,youtube,1751864150.609884,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751864159.171704,,False,
Asia/Tokyo,openedApp,youtube,1751864259.880786,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751864307.6551862,,False,
Asia/Tokyo,dismissedAppOpening,youtube,1751864382.105379,1.5,False,breathingExercise
Asia/Tokyo,openedApp,youtube,1751870202.916728,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751870357.006634,,False,
Asia/Tokyo,openedApp,youtube,1751870505.508594,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751870617.464869,,False,
Asia/Tokyo,openedApp,youtube,1751870723.015421,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751870775.038056,,False,
Asia/Tokyo,openedApp,youtube,1751883020.020749,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751883142.534364,,False,
Asia/Tokyo,closedApp,youtube,1751883425.597141,,False,
Asia/Tokyo,openedApp,youtube,1751883642.791615,1.5,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1751883776.7516131,,False,
Asia/Tokyo,openedApp,youtube,1752050722.367515,3.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1752050777.978111,,False,
Asia/Tokyo,openedApp,youtube,1752051503.6195679,3.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1752051708.342556,,False,
Asia/Tokyo,openedApp,youtube,1752288785.232047,3.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1752288965.1327338,,False,
Asia/Tokyo,closedApp,youtube,1752288987.107496,,False,
Asia/Tokyo,openedApp,youtube,1752297404.8440871,3.0,False,breathingExercise
Asia/Tokyo,dismissedAppOpening,youtube,1752471222.493561,3.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1752297474.837745,,False,
Asia/Tokyo,closedApp,youtube,1752297722.4546762,,False,
Asia/Tokyo,closedApp,youtube,1752297757.6446872,,False,
Asia/Tokyo,closedApp,youtube,1752297851.3613791,,False,
Asia/Tokyo,closedApp,youtube,1752297859.152199,,False,
Asia/Tokyo,closedApp,youtube,1752297878.052431,,False,
Asia/Tokyo,closedApp,youtube,1752297920.076577,,False,
Asia/Tokyo,closedApp,youtube,1752297966.888607,,False,
Asia/Tokyo,closedApp,youtube,1752298050.6934428,,False,
Asia/Tokyo,closedApp,youtube,1752298178.061199,,False,
Asia/Tokyo,closedApp,youtube,1752298270.4467158,,False,
Asia/Tokyo,closedApp,twitter,1752309259.345145,,False,
Asia/Tokyo,openedApp,youtube,1752645472.2537131,3.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1752645491.356174,,False,
Asia/Tokyo,closedApp,youtube,1752645516.590647,,False,
Asia/Tokyo,openedApp,youtube,1752645556.153041,3.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1752645627.470278,,False,
Asia/Tokyo,closedApp,youtube,1752645804.547391,,False,
Asia/Tokyo,closedApp,youtube,1752645979.352484,,False,
Asia/Tokyo,closedApp,youtube,1752645996.0363688,,False,
Asia/Tokyo,closedApp,youtube,1752646090.913194,,False,
Asia/Tokyo,openedApp,youtube,1752646238.6371841,3.0,False,breathingExercise
Asia/Tokyo,closedApp,pornhub,1753848626.933786,,False,
Asia/Tokyo,closedApp,pornhub,1753848685.05968,,False,
Asia/Tokyo,closedApp,pornhub,1753848690.1355681,,False,
Asia/Tokyo,closedApp,pornhub,1753848691.839175,,False,
Asia/Tokyo,closedApp,pornhub,1753848804.193207,,False,
Asia/Tokyo,closedApp,pornhub,1753848809.4177551,,False,
Asia/Tokyo,closedApp,pornhub,1753848821.030106,,False,
Asia/Tokyo,closedApp,pornhub,1753848873.216053,,False,
Asia/Tokyo,closedApp,pornhub,1753848891.648,,False,
Asia/Tokyo,closedApp,pornhub,1753848959.204427,,False,
Asia/Tokyo,closedApp,pornhub,1753848982.8856812,,False,
Asia/Tokyo,closedApp,pornhub,1753849014.4001188,,False,
Asia/Tokyo,closedApp,pornhub,1753849019.109424,,False,
Asia/Tokyo,closedApp,pornhub,1753849065.521933,,False,
Asia/Tokyo,closedApp,pornhub,1753849106.4165092,,False,
Asia/Tokyo,closedApp,pornhub,1753849108.254919,,False,
Asia/Tokyo,closedApp,pornhub,1753849128.620792,,False,
Asia/Tokyo,closedApp,pornhub,1753849129.64648,,False,
Asia/Tokyo,closedApp,pornhub,1753849130.867023,,False,
Asia/Tokyo,closedApp,pornhub,1753849131.728656,,False,
Asia/Tokyo,closedApp,pornhub,1753849132.8333058,,False,
Asia/Tokyo,closedApp,pornhub,1753849133.990978,,False,
Asia/Tokyo,closedApp,pornhub,1753849134.9752789,,False,
Asia/Tokyo,closedApp,pornhub,1753849293.160214,,False,
Asia/Tokyo,closedApp,pornhub,1753849313.234869,,False,
Asia/Tokyo,closedApp,pornhub,1753849383.583235,,False,
Asia/Tokyo,closedApp,pornhub,1753849384.9608579,,False,
Asia/Tokyo,closedApp,pornhub,1753849391.225796,,False,
Asia/Tokyo,closedApp,pornhub,1753849393.425068,,False,
Asia/Tokyo,closedApp,pornhub,1753849411.572956,,False,
Asia/Tokyo,closedApp,pornhub,1753849432.869745,,False,
Asia/Tokyo,closedApp,pornhub,1753849433.653463,,False,
Asia/Tokyo,openedApp,youtube,1753850597.4458919,6.0,False,breathingExercise
Asia/Tokyo,closedApp,youtube,1753850615.1234941,,False,
Asia/Tokyo,closedApp,youtube,1753850864.518055,,False,
Asia/Tokyo,closedApp,youtube,1753851011.652279,,False,
