interventionDuration,timezone,interventionType,isReIntervention,timestamp,resolution,app
1.5,America/Fortaleza,breathingExercise,False,1752600687.110748,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752601029.5534592,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752601071.135236,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752601364.8056211,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752601664.140868,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752666397.9086208,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752666711.268605,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752666772.5788078,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752667076.741368,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752667272.836905,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752667582.944453,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752667903.322598,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752668179.8462749,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752668480.742762,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752668786.523165,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1752669087.086256,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1753617779.611637,openedApp,youtube
1.5,America/Fortaleza,breathingExercise,False,1753617779.7093349,dismissedAppOpening,youtube
