timezone,app,timestamp,interventionDuration,resolution,interventionType,isReIntervention,purpose
America/Los_Angeles,linkedin,1753145046.904367,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,googleNews,1753189215.309535,,openedApp,,False,
America/Los_Angeles,googleNews,1753189575.309535,,closedApp,,False,
America/Los_Angeles,googleNews,1753189575.309535,,dismissedAppOpening,,False,
America/Los_Angeles,facebook,1753189783.376731,1.5,openedApp,breathingExercise,False,Stay In the Loop
America/Los_Angeles,instagram,1753189925.851449,1.5,openedApp,breathingExercise,False,Stay In the Loop
America/Los_Angeles,instagram,1753190598.997829,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,facebook,1753192923.257349,1.5,openedApp,breathingExercise,False,Message
America/Los_Angeles,instagram,1753194678.229636,1.5,openedApp,breathingExercise,False,Search Info
America/Los_Angeles,googleNews,1753195704.8438349,,openedApp,,False,
America/Los_Angeles,googleNews,1753196064.8438349,,closedApp,,False,
America/Los_Angeles,googleNews,1753196064.8438349,,dismissedAppOpening,,False,
America/Los_Angeles,instagram,1753199346.783901,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,linkedin,1753207795.101028,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,instagram,1753213099.566977,1.5,openedApp,breathingExercise,False,Escape / Avoid
America/Los_Angeles,linkedin,1753218644.816602,1.5,openedApp,breathingExercise,False,Search Info
America/Los_Angeles,linkedin,1753231433.890692,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,instagram,1753249408.423399,1.5,openedApp,breathingExercise,False,Stay In the Loop
America/Los_Angeles,instagram,1753249528.64765,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,instagram,1753249541.548001,1.5,openedApp,breathingExercise,False,Stay In the Loop
America/Los_Angeles,instagram,1753291955.3121629,1.5,openedApp,breathingExercise,False,Stay In the Loop
America/Los_Angeles,facebook,1753292704.20406,1.5,openedApp,breathingExercise,False,Search Info
America/Los_Angeles,facebook,1753294384.538513,1.5,openedApp,breathingExercise,False,Toilet
America/Los_Angeles,instagram,1753294442.9078069,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,facebook,1753294528.520644,1.5,openedApp,breathingExercise,False,Toilet
America/Los_Angeles,facebook,1753294648.0514169,1.5,openedApp,breathingExercise,False,Toilet
America/Los_Angeles,facebook,1753295116.337189,1.5,openedApp,breathingExercise,False,Toilet
America/Los_Angeles,linkedin,1753299368.184432,1.5,openedApp,breathingExercise,False,Stay In the Loop
America/Los_Angeles,instagram,1753307491.476871,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,instagram,1753307633.337776,1.5,openedApp,breathingExercise,False,Stay In the Loop
America/Los_Angeles,instagram,1753309659.718256,1.5,openedApp,breathingExercise,False,Escape / Avoid
America/Los_Angeles,instagram,1753310035.016856,1.5,openedApp,breathingExercise,False,Stay In the Loop
America/Los_Angeles,instagram,1753324897.232531,1.5,openedApp,breathingExercise,False,Relax
America/Los_Angeles,instagram,1753327088.997497,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,instagram,1753327122.5272698,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,facebook,1753333560.859096,1.5,openedApp,breathingExercise,False,Search Info
America/Los_Angeles,facebook,1753333735.4959679,1.5,openedApp,breathingExercise,False,Search Info
America/Los_Angeles,facebook,1753337697.2867231,1.5,openedApp,breathingExercise,False,Search Info
America/Los_Angeles,instagram,1753338898.5034719,1.5,openedApp,breathingExercise,False,Post something
America/Los_Angeles,instagram,1753339548.776956,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,instagram,1753344473.7820458,1.5,openedApp,breathingExercise,False,Post something
America/Los_Angeles,instagram,1753344762.92118,1.5,openedApp,breathingExercise,False,Relax
America/Los_Angeles,instagram,1753366260.463472,1.5,openedApp,breathingExercise,False,Stay In the Loop
America/Los_Angeles,instagram,1753375562.422521,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,instagram,1753380778.8465629,1.5,openedApp,breathingExercise,False,Post something
America/Los_Angeles,instagram,1753384216.8673239,1.5,openedApp,breathingExercise,False,Check likes
America/Los_Angeles,instagram,1753386603.500702,1.5,openedApp,breathingExercise,False,Post something
America/Los_Angeles,instagram,1753387722.022221,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,instagram,1753390639.2352881,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,instagram,1753400933.352859,1.5,openedApp,breathingExercise,False,Search Info
America/Los_Angeles,linkedin,1753421932.748426,1.5,openedApp,breathingExercise,False,Stay In the Loop
America/Los_Angeles,linkedin,1753422304.17212,1.5,openedApp,breathingExercise,False,Stay In the Loop
America/Los_Angeles,instagram,1753424808.507956,1.5,openedApp,breathingExercise,False,Stay In the Loop
America/Los_Angeles,instagram,1753425394.187094,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,instagram,1753425401.6758962,1.5,openedApp,breathingExercise,False,Relax
America/Los_Angeles,instagram,1753426885.03445,1.5,openedApp,breathingExercise,False,Relax
America/Los_Angeles,instagram,1753449877.942241,1.5,openedApp,breathingExercise,False,Escape / Avoid
America/Los_Angeles,instagram,1753454663.2824311,1.5,dismissedAppOpening,breathingExercise,False,
America/Los_Angeles,instagram,1753454665.0003529,1.5,dismissedAppOpening,breathingExercise,False,
