timezone,interventionType,resolution,timestamp,app,isReIntervention,interventionDuration
Africa/Cairo,breathingExercise,openedApp,1752784930.378361,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752785442.6211538,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752785484.404684,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752785633.561343,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752785830.0996618,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752786059.327167,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752786069.469452,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752786159.8294291,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752786447.753968,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752786579.7460399,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752786715.5096421,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752786757.592623,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752787742.4982119,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752788184.692997,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752788715.9688802,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752790357.813345,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752790848.957664,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752791596.950294,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752795862.377774,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752795868.6261492,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752795901.62344,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752796052.7822552,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752796217.307806,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752796245.122663,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752796311.9868588,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752796491.762008,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752796582.558022,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752797499.730659,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752797650.450533,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752797796.042187,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752797846.2342582,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752797898.415279,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752798646.073749,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752802266.176897,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752805771.731631,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752826276.0316439,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752827435.1112242,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752827759.559562,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752828032.283252,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752828215.282006,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752831942.608928,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752832161.91745,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752832251.627821,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752834525.416261,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752838249.939116,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752838508.512351,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752840736.575594,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752841157.027398,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752841281.870805,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752841345.204371,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752841580.3927531,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752841940.2006922,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752843159.1731591,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752843302.923347,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752843394.7350612,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752843401.799653,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752843506.780054,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752843619.8766332,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752845487.741179,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752848587.251816,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752848599.885106,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752848838.000243,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752848843.3229651,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752850639.020607,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752851435.149008,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752852294.099368,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752852549.436108,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752852691.5320868,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752853362.543486,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752853564.536368,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752858352.144191,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752858361.7833629,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752858388.163574,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752858486.027895,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752859810.678257,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752863344.0386372,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752863453.599164,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752863548.277728,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752867142.2720962,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752867214.91208,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752869540.485018,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752869939.5337892,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752870357.977232,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752870489.621296,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752870884.341735,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752870891.718687,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752871798.778635,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752873695.502164,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752873742.852961,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752873835.2139149,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752874171.0384169,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752874256.622545,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752874409.675638,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752874472.0248299,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752877233.261267,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752877526.356413,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752878232.431418,instagram,False,1.5
Africa/Cairo,breathingExercise,dismissedAppOpening,1752878630.618968,instagram,False,1.5
Africa/Cairo,breathingExercise,openedApp,1752879757.714868,instagram,False,1.5
