timezone,interventionDuration,app,interventionType,isReIntervention,timestamp,resolution,timeIntervalUntilReIntervention
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749930101.499288,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749941459.125813,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749953776.198598,openedApp,180.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749963139.423461,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749963450.1303182,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749994229.560791,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749994642.805008,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749994945.742377,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749995458.6028929,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749995842.1061811,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749996328.9276052,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1749997005.746412,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1749997077.858176,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750002273.937012,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,True,1750002590.825189,openedApp,420.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750002745.8890781,openedApp,360.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750002812.588032,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750003033.597577,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750004589.2212949,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750004640.618506,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750006343.894908,openedApp,60.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750006440.226317,dismissedAppOpening,
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750015474.880136,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750016528.178133,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750021237.057201,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750021282.437155,openedApp,300.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750021544.084986,openedApp,240.0
America/Argentina/Buenos_Aires,1.5,instagram,breathingExercise,False,1750021622.384366,openedApp,300.0
