timezone,resolution,app,interventionType,timestamp,interventionDuration,isReIntervention,purpose,timeIntervalUntilReIntervention
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750203391.041738,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750203421.428839,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750203433.372504,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750203436.512033,1.5,False,,
Europe/London,openedApp,tikTok,breathingExercise,1750203795.1229792,1.5,False,Bored,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750204392.078501,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750204401.682368,1.5,False,Search Info,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750204978.695878,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750210474.899053,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750212211.060632,1.5,False,,
Europe/London,openedApp,tikTok,breathingExercise,1750212229.931151,1.5,False,Search Info,
Europe/London,dismissedAppOpening,tikTok,breathingExercise,1750212650.670658,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750221122.799382,1.5,False,,
Europe/London,openedApp,tikTok,breathingExercise,1750223456.622062,1.5,False,Relax,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750242275.819419,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750246669.939914,1.5,False,,
Europe/London,openedApp,tikTok,breathingExercise,1750250658.173305,1.5,False,Entertainment,
Europe/London,dismissedAppOpening,tikTok,breathingExercise,1750250894.716444,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750251583.470393,1.5,False,Entertainment,
Europe/London,openedApp,instagram,breathingExercise,1750260003.754005,1.5,False,Entertainment,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750264374.303465,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750264495.12644,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750275625.368573,1.5,False,Check likes,
Europe/London,openedApp,instagram,breathingExercise,1750276912.931768,1.5,False,Bored,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750277235.1284552,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750282818.150021,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750285615.492064,1.5,False,,
Europe/London,dismissedAppOpening,tikTok,breathingExercise,1750286078.609225,1.5,False,,
Europe/London,openedApp,tikTok,breathingExercise,1750286090.150765,1.5,False,Entertainment,
Europe/London,openedApp,instagram,breathingExercise,1750289571.1162372,1.5,False,Message,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750297873.953834,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750297901.808165,1.5,False,Bored,
Europe/London,openedApp,instagram,breathingExercise,1750298089.047204,1.5,False,Post something,
Europe/London,openedApp,instagram,breathingExercise,1750299720.0744371,1.5,False,Message,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750299834.386395,1.5,False,,
Europe/London,openedApp,tikTok,breathingExercise,1750299845.143125,1.5,False,Bored,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750301489.705472,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750301498.309235,1.5,False,Check likes,
Europe/London,openedApp,tikTok,breathingExercise,1750301547.749703,1.5,False,Message,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750307656.126544,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750309666.333163,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750311101.354855,1.5,False,Relax,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750311358.037534,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750311366.572897,1.5,False,Relax,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750311786.4551148,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750311790.4923549,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750312671.74124,1.5,False,Entertainment,
Europe/London,openedApp,instagram,breathingExercise,1750316204.292752,1.5,False,Message,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750316295.282068,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750326762.469044,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750327199.7538419,1.5,False,Message,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750333038.114056,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750333062.9099221,1.5,False,Entertainment,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750333233.811219,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750337173.168091,1.5,False,Relax,60.0
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750337292.002233,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750339023.293023,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750339026.949585,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750339278.480088,1.5,False,Entertainment,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750340040.416544,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750340582.485558,1.5,False,,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750340584.5158072,1.5,False,,
Europe/London,openedApp,instagram,breathingExercise,1750340810.615196,1.5,False,Message,
Europe/London,dismissedAppOpening,instagram,breathingExercise,1750341162.985584,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750345009.763451,1.5,False,Message,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750345268.9857311,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750346220.2857718,1.5,False,Message,
America/New_York,openedApp,instagram,breathingExercise,1750356129.472536,1.5,False,Toilet,
America/New_York,openedApp,instagram,breathingExercise,1750367430.545331,1.5,False,Message,
America/New_York,openedApp,instagram,breathingExercise,1750380246.240182,1.5,False,Bored,
America/New_York,openedApp,instagram,breathingExercise,1750381161.9693708,1.5,False,Toilet,
America/New_York,openedApp,instagram,breathingExercise,1750382389.786793,1.5,False,Message,
America/New_York,openedApp,instagram,breathingExercise,1750384736.3370662,1.5,False,Message,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750385088.610673,1.5,False,,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750385122.8509278,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750385263.639254,1.5,False,Message,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750386626.396994,1.5,False,,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750389068.7767692,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750391822.007299,1.5,False,Message,
America/New_York,openedApp,instagram,breathingExercise,1750392175.2630792,1.5,False,Message,
America/New_York,openedApp,instagram,breathingExercise,1750395443.059248,1.5,False,Message,
America/New_York,openedApp,instagram,breathingExercise,1750425199.6359901,1.5,False,Message,
America/New_York,openedApp,instagram,breathingExercise,1750427310.665148,1.5,False,Message,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750428435.435316,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750428441.849993,1.5,False,Message,
America/New_York,openedApp,instagram,breathingExercise,1750430954.7739701,1.5,False,Message,
America/New_York,openedApp,instagram,breathingExercise,1750438031.31991,1.5,False,Check likes,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750438955.514427,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750443727.316362,1.5,False,Message,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750444614.747489,1.5,False,,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750445177.217804,1.5,False,,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750445179.0796561,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750445474.044277,1.5,False,Bored,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750447752.567402,1.5,False,,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750449881.145684,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750450636.818057,1.5,False,Search Info,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750451084.360948,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750452085.025754,1.5,False,Bored,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750452301.065911,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750452487.24373,1.5,False,Message,
America/New_York,openedApp,instagram,breathingExercise,1750453141.7711182,1.5,False,Message,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750453330.888474,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750454551.669001,1.5,False,Search Info,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750456703.917307,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750456712.551838,1.5,False,Search Info,
America/New_York,openedApp,instagram,breathingExercise,1750469611.941531,1.5,False,Message,
America/New_York,openedApp,instagram,breathingExercise,1750515580.222334,1.5,False,Check likes,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750517387.018896,1.5,False,,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750517388.7452269,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750517404.284698,1.5,False,Message,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750518670.0533729,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750520015.2724729,1.5,False,Toilet,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750521185.8262892,1.5,False,,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750536717.396006,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750536726.819539,1.5,False,Bored,
America/New_York,openedApp,tikTok,breathingExercise,1750536771.29983,1.5,False,Search Info,
America/New_York,openedApp,instagram,breathingExercise,1750545900.1845322,1.5,False,Message,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750547260.8054981,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750547273.601834,1.5,False,Message,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750547965.589109,1.5,False,,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750547967.967609,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750557261.488659,1.5,False,Message,
America/New_York,openedApp,tikTok,breathingExercise,1750557300.891492,1.5,False,Bored,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750557726.538521,1.5,False,,
America/New_York,openedApp,tikTok,breathingExercise,1750561354.456859,1.5,False,Search Info,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750608694.527248,1.5,False,,
America/New_York,openedApp,tikTok,breathingExercise,1750608706.4563031,1.5,False,Message,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750608984.9326591,1.5,False,,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750609289.348446,1.5,False,,
America/New_York,openedApp,tikTok,breathingExercise,1750609493.8234138,1.5,False,Search Info,
America/New_York,openedApp,instagram,breathingExercise,1750613087.847162,1.5,False,Message,
America/New_York,dismissedAppOpening,tikTok,breathingExercise,1750613108.577375,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750615663.5245972,1.5,False,Message,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750618022.81755,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750630688.2448292,1.5,False,Message,
America/New_York,openedApp,tikTok,breathingExercise,1750631092.1677508,1.5,False,Message,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750632618.911975,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750637285.283247,1.5,False,Post something,
America/New_York,openedApp,instagram,breathingExercise,1750653185.762926,1.5,False,Stay In the Loop,
America/New_York,openedApp,instagram,breathingExercise,1750655553.109427,1.5,False,Check likes,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750656271.779947,1.5,False,,
America/New_York,openedApp,tikTok,breathingExercise,1750657955.36979,1.5,False,Search Info,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750684036.775529,1.5,False,,
America/New_York,dismissedAppOpening,instagram,breathingExercise,1750684044.1507258,1.5,False,,
America/New_York,openedApp,instagram,breathingExercise,1750684220.524822,1.5,False,Message,
America/New_York,openedApp,tikTok,breathingExercise,1750686168.528954,1.5,False,Message,
America/New_York,openedApp,instagram,breathingExercise,1750695455.1055288,1.5,False,Message,
America/New_York,openedApp,tikTok,breathingExercise,1750698708.447202,1.5,False,Search Info,
