isReIntervention,app,interventionType,interventionDuration,resolution,timezone,timestamp
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752870988.05743
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752872627.596664
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752874529.492639
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752874563.723012
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752897415.3023438
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752911447.236146
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752913337.646807
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752915338.69976
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752915442.168971
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752919126.312378
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752920023.7927961
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752921435.389608
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752921440.1889238
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752922297.191959
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752922462.554301
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752922969.466224
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752923554.958538
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752923563.748612
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752924321.0056381
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752924411.4330049
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752926851.147472
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752927075.464189
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752927235.797491
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752928190.654175
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752928552.89767
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752929228.646988
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752931718.049408
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752931999.328289
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752932010.608139
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752932116.14628
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752932188.250212
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752932432.2516441
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752933926.369591
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752936409.2480578
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752937200.853252
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752937209.723267
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752937651.228061
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752937881.7955189
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752937889.622366
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752944821.268052
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752947970.9790978
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752948302.173102
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752948740.7791162
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752948860.230092
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752951604.089058
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752951698.4927769
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752952056.079541
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752952063.9151149
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752952108.77676
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752952154.986287
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752952255.6485581
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752952977.722643
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752953101.776338
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752953217.977538
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752956728.955661
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752956888.212368
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752957466.580617
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752959472.46032
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752960651.543318
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752962723.103636
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752963862.59614
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752964168.697788
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752964354.277493
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752964517.3059921
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752966547.6831388
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752966937.639793
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752967009.90973
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752967555.659782
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1752968465.813221
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1752968899.814501
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1753008274.8521252
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1753008276.81347
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753008281.916247
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753013533.650642
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753014030.9929318
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753014253.097467
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753016900.351697
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753017533.284616
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753017736.21329
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753017944.938513
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1753018150.105322
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753018156.2118611
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753018495.8306289
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753018677.964363
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753018980.4084349
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753019485.6079102
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753019971.0936608
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753020125.521786
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753020476.535702
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753020899.652127
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753021095.533615
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753021775.922575
False,instagram,breathingExercise,1.5,dismissedAppOpening,Europe/Lisbon,1753023019.4933581
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753023035.727759
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753023277.653096
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753023828.004926
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753024079.7628012
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753025216.83634
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753029038.68638
False,instagram,breathingExercise,1.5,openedApp,Europe/Lisbon,1753029450.097487
