timezone,isReIntervention,timestamp,resolution,app,interventionType,interventionDuration
Europe/Berlin,False,1748777831.287544,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1748778611.1266608,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1748781427.388166,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1748800082.675688,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749113397.5925632,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749115170.899558,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749119879.332516,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749122161.576404,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749126027.604315,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749127240.465306,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749127304.111588,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749127437.4666529,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749127639.966208,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749127663.346597,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749127756.155407,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749127782.9490418,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749127861.6166348,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749127959.191454,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749128140.4452128,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749128218.278266,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749129172.367271,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749129749.958,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749131472.95929,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749132121.7210221,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749137296.8154101,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749138363.532258,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749140082.182066,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749150115.278222,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749150293.314796,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749152698.229543,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749152767.7284489,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749156957.852463,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749159600.567548,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749160147.7628,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749161295.4900131,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749185392.049995,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749185840.079077,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749186762.4521499,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749186796.953929,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749186802.527421,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749190827.6240911,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749192202.4006581,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749192254.051403,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749192603.787837,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749192759.4057798,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749192873.896354,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749194770.7836761,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749196463.411353,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749208657.857119,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749210558.285927,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749213356.011344,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749224540.019515,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749226043.6015348,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749227677.931357,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749228987.87024,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749229490.129446,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749231279.913271,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749232588.146596,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749234411.3051,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749237658.672364,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749238444.668855,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749240017.9146,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749242877.79215,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749247301.6006541,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749249837.077873,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749277180.254115,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749279243.918098,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749281578.875366,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749281970.378871,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749289678.705997,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749291658.283537,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749291718.5736132,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749295450.431304,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749299508.697439,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749299601.670932,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749299815.611007,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749306649.913538,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749313713.686279,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749314215.807393,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749315367.497731,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749316023.996406,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749316725.3583279,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749318928.216878,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749320686.63243,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749320879.314138,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749323810.171145,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749324619.234016,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749326725.8818069,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749330572.3355641,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749330635.482527,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749330760.2332048,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749331189.8985538,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749331646.0088801,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749331812.915378,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749332517.038326,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749333362.9967442,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749334578.466876,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749362329.563555,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749368477.686238,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749369576.46801,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749377438.539798,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749378823.9317951,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749379039.033928,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749379061.002191,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749379077.3510818,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749379085.802171,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749379897.200958,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749380227.62573,dismissedAppOpening,instagram,breathingExercise,1.5
Europe/Berlin,False,1749380236.022828,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749380312.4660048,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749381558.457268,openedApp,instagram,breathingExercise,1.5
Europe/Berlin,False,1749381828.200194,openedApp,instagram,breathingExercise,1.5
