resolution,timestamp,interventionDuration,isReIntervention,timezone,app,interventionType,timeIntervalUntilReIntervention
openedApp,1750879921.627882,1.5,False,Europe/Istanbul,instagram,breathingExercise,540.0
openedApp,1750881220.6134849,1.5,False,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1750881436.3677258,1.5,False,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1750881610.440094,1.5,False,Europe/Istanbul,instagram,breathingExercise,540.0
openedApp,1750882185.929651,1.5,False,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1750920940.764038,1.5,False,Europe/Istanbul,instagram,breathingExercise,300.0
openedApp,1750921230.141918,1.5,False,Europe/Istanbul,instagram,breathingExercise,60.0
openedApp,1750921309.604013,1.5,True,Europe/Istanbul,instagram,breathingExercise,240.0
dismissedAppOpening,1750921708.86131,1.5,False,Europe/Istanbul,instagram,breathingExercise,
openedApp,1750925520.349545,1.5,False,Europe/Istanbul,instagram,breathingExercise,540.0
dismissedAppOpening,1750925878.7902598,1.5,False,Europe/Istanbul,instagram,breathingExercise,
openedApp,1750927878.2033591,1.5,False,Europe/Istanbul,instagram,breathingExercise,300.0
openedApp,1750928001.8384,1.5,False,Europe/Istanbul,instagram,breathingExercise,420.0
openedApp,1750928458.556652,1.5,True,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1750928839.510066,1.5,False,Europe/Istanbul,instagram,breathingExercise,360.0
openedApp,1750929210.5410628,1.5,True,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1750929813.874506,1.5,True,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1750931698.26526,1.5,True,Europe/Istanbul,instagram,breathingExercise,180.0
openedApp,1750931886.099063,1.5,True,Europe/Istanbul,instagram,breathingExercise,540.0
openedApp,1750934624.953423,1.5,True,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1750936713.2547069,1.5,True,Europe/Istanbul,instagram,breathingExercise,360.0
openedApp,1750939067.9714088,1.5,True,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1750940153.772002,1.5,True,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1751006099.591416,1.5,False,Europe/Istanbul,instagram,breathingExercise,360.0
openedApp,1751006475.564344,1.5,True,Europe/Istanbul,instagram,breathingExercise,120.0
dismissedAppOpening,1751006568.321657,1.5,False,Europe/Istanbul,instagram,breathingExercise,
dismissedAppOpening,1751007360.507596,1.5,False,Europe/Istanbul,instagram,breathingExercise,
openedApp,1751010607.350481,1.5,False,Europe/Istanbul,instagram,breathingExercise,300.0
openedApp,1751012364.226295,1.5,False,Europe/Istanbul,instagram,breathingExercise,300.0
dismissedAppOpening,1751012477.8600368,1.5,False,Europe/Istanbul,instagram,breathingExercise,
openedApp,1751012637.968406,1.5,False,Europe/Istanbul,instagram,breathingExercise,240.0
openedApp,1751013026.8255138,1.5,True,Europe/Istanbul,instagram,breathingExercise,360.0
dismissedAppOpening,1751013998.965588,1.5,False,Europe/Istanbul,instagram,breathingExercise,
openedApp,1751014622.24223,1.5,False,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1751015119.476884,1.5,False,Europe/Istanbul,instagram,breathingExercise,480.0
openedApp,1751015375.947678,1.5,False,Europe/Istanbul,instagram,breathingExercise,480.0
openedApp,1751015529.3299189,1.5,False,Europe/Istanbul,instagram,breathingExercise,60.0
openedApp,1751015844.049645,1.5,False,Europe/Istanbul,instagram,breathingExercise,120.0
openedApp,1751015984.202399,1.5,True,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1751016595.309702,1.5,True,Europe/Istanbul,instagram,breathingExercise,540.0
openedApp,1751017143.025085,1.5,True,Europe/Istanbul,instagram,breathingExercise,360.0
openedApp,1751017253.1757731,1.5,False,Europe/Istanbul,instagram,breathingExercise,480.0
openedApp,1751017288.0793839,1.5,False,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1751017557.1021152,1.5,False,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1751018168.191728,1.5,True,Europe/Istanbul,instagram,breathingExercise,360.0
openedApp,1751018262.334669,1.5,False,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1751018405.037294,1.5,False,Europe/Istanbul,instagram,breathingExercise,540.0
openedApp,1751018429.528305,1.5,False,Europe/Istanbul,instagram,breathingExercise,540.0
openedApp,1751018590.648453,1.5,False,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1751018625.255909,1.5,False,Europe/Istanbul,instagram,breathingExercise,540.0
openedApp,1751021798.7119179,1.5,True,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1751022753.520267,1.5,True,Europe/Istanbul,instagram,breathingExercise,60.0
openedApp,1751023175.670714,1.5,True,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1751024867.15347,1.5,True,Europe/Istanbul,instagram,breathingExercise,600.0
openedApp,1751027716.801744,1.5,True,Europe/Istanbul,instagram,breathingExercise,60.0
dismissedAppOpening,1751028121.300951,1.5,True,Europe/Istanbul,instagram,breathingExercise,
openedApp,1751029382.436778,1.5,False,Europe/Istanbul,tikTok,breathingExercise,300.0
openedApp,1751029573.396198,1.5,False,Europe/Istanbul,tikTok,breathingExercise,240.0
