resolution,timezone,app,timestamp,interventionDuration,interventionType,isReIntervention
dismissedAppOpening,America/New_York,instagram,1752596516.487053,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752604426.661714,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752607595.241997,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752609331.195857,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752629337.968499,1.5,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1752629478.043107,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752629487.038585,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752631366.3171902,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752632885.838256,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752667692.889025,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752673405.2149138,1.5,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1752674474.0896559,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752674479.623826,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752682684.286827,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752683071.368423,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752694345.889986,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752695200.938204,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752697634.175214,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752716492.966236,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752717991.922585,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752754366.240071,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752763482.4796119,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752797810.298557,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752798839.944886,1.5,breathingExercise,False
openedApp,America/New_York,instagram,1752800189.778595,1.5,breathingExercise,False
dismissedAppOpening,America/New_York,instagram,1752800257.265039,1.5,breathingExercise,False
