Predictor,OR,95% CI,p
(Intercept),0.486,"[0.395, 0.595]",< .001
delay_secs,1.009,"[0.977, 1.042]",0.59
factor(week)3,0.316,"[0.251, 0.397]",< .001
factor(week)4,0.331,"[0.26, 0.418]",< .001
factor(week)5,0.353,"[0.271, 0.456]",< .001
factor(week)6,0.455,"[0.35, 0.589]",< .001
