delay_secs,week,n_at_risk,n_dropped,hazard_pct
3,1,817,0,0
3,2,817,276,33.8
6,1,409,0,0
6,2,409,134,32.8
6,3,254,36,14.2
6,4,218,28,12.8
10,1,415,0,0
10,2,415,144,34.7
10,3,833,119,14.3
10,4,714,110,15.4
10,5,794,125,15.7
10,6,669,130,19.4
