Condition,Pr(dropout),95% CI
ABC,0.649,"[0.6, 0.695]"
ACC,0.67,"[0.624, 0.713]"
BCC,0.704,"[0.658, 0.746]"
CCC,0.663,"[0.616, 0.707]"
